group_id,,AbsTime,RelTime,Cycle,m15.881 (B_m15.881) (Corr),m16.214 (B_m16.214) (Corr),m17.016 (B_m17.016) (Corr),m17.055 (B_m17.055) (Corr),m17.554 (B_m17.554) (Corr),m18.062 (B_m18.062) (Corr),m18.632 (B_m18.632) (Corr),m18.723 (B_m18.723) (Corr),m18.781 (B_m18.781) (Corr),m18.970 (B_m18.970) (Corr),m19.474 (B_m19.474) (Corr),m19.540 (B_m19.540) (Corr),m19.943 (B_m19.943) (Corr),m20.050 (B_m20.050) (Corr),m20.820 (B_m20.820) (Corr),m21.049 (B_m21.049) (Corr),m22.916 (B_m22.916) (Corr),m25.355 (B_m25.355) (Corr),m28.034 (B_m28.034) (Corr),m28.765 (B_m28.765) (Corr),m28.793 (B_m28.793) (Corr),m28.859 (B_m28.859) (Corr),m29.028 (B_m29.028) (Corr),m29.746 (B_m29.746) (Corr),m30.017 (B_m30.017) (Corr),m31.721 (B_m31.721) (Corr),m31.772 (B_m31.772) (Corr),m31.998 (B_m31.998) (Corr),m33.037 (B_m33.037) (Corr),m33.886 (B_m33.886) (Corr),m33.999 (B_m33.999) (Corr),m35.387 (B_m35.387) (Corr),m36.737 (B_m36.737) (Corr),m36.797 (B_m36.797) (Corr),m37.058 (B_m37.058) (Corr),m37.290 (B_m37.290) (Corr),m37.626 (B_m37.626) (Corr),m37.777 (B_m37.777) (Corr),m38.042 (B_m38.042) (Corr),m38.476 (B_m38.476) (Corr),m39.038 (B_m39.038) (Corr),m41.053 (B_m41.053) (Corr),m43.045 (B_m43.045) (Corr),m44.025 (B_m44.025) (Corr),m45.024 (B_m45.024) (Corr),m46.016 (B_m46.016) (Corr),m47.040 (B_m47.040) (Corr),m50.011 (B_m50.011) (Corr),m51.019 (B_m51.019) (Corr),m53.035 (B_m53.035) (Corr),m55.029 (B_m55.029) (Corr),m57.076 (B_m57.076) (Corr),m59.074 (B_m59.074) (Corr),m61.061 (B_m61.061) (Corr),m63.040 (B_m63.040) (Corr),m69.062 (B_m69.062) (Corr),m72.947 (B_m72.947) (Corr),m73.077 (B_m73.077) (Corr),m75.075 (B_m75.075) (Corr),m76.948 (B_m76.948) (Corr),m78.068 (B_m78.068) (Corr),m81.035 (B_m81.035) (Corr),m83.112 (B_m83.112) (Corr),m88.113 (B_m88.113) (Corr),m89.096 (B_m89.096) (Corr),m91.049 (B_m91.049) (Corr),m93.069 (B_m93.069) (Corr),m94.059 (B_m94.059) (Corr),m95.054 (B_m95.054) (Corr),m96.054 (B_m96.054) (Corr),m203.008 (B_m203.008) (Corr),m203.980 (B_m203.980) (Corr),m205.084 (B_m205.084) (Corr),m205.968 (B_m205.968) (Corr),m218.001 (B_m218.001) (Corr),m328.554 (B_m328.554) (Corr),m329.556 (B_m329.556) (Corr),m329.885 (B_m329.885) (Corr),m330.895 (B_m330.895) (Corr),m332.034 (B_m332.034) (Corr),m332.690 (B_m332.690) (Corr),m355.145 (B_m355.145) (Corr),m356.248 (B_m356.248) (Corr),m357.165 (B_m357.165) (Corr),m358.143 (B_m358.143) (Corr),m358.713 (B_m358.713) (Corr),m359.096 (B_m359.096) (Corr),m371.191 (B_m371.191) (Corr),m372.285 (B_m372.285) (Corr),m373.171 (B_m373.171) (Corr),m374.177 (B_m374.177) (Corr),m375.156 (B_m375.156) (Corr),m429.204 (B_m429.204) (Corr),m431.181 (B_m431.181) (Corr),m445.239 (B_m445.239) (Corr),m445.875 (B_m445.875) (Corr),m447.210 (B_m447.210) (Corr),E/N_Act [Td],p-Drift_Act [mbar]
                      Jar_BLK_25,4669,44841.7838,4678.6436,4670,83.38699,0,1668.571,932.8954,0,7942.556,166.774,250.161,250.1623,199550.2,6129.439,7962.666,3424.033,13113.16,166.774,8442062,41.16143,25.04205,268.1014,16.2156,32.34747,13.0569,15222.95,29.47478,11540.15,12.43431,37.17749,908017.4,1267.067,117.9423,1973.097,19.31175,26.78918,33.99953,180265.6,419.6552,17.01118,42.18866,297.4861,0,674.2593,46.33579,85.84229,76.22088,54.96222,70.62608,81.55925,254.7742,1684.014,2304.233,179.9686,17.1795,35.95806,198.7519,16.77019,63.31857,29.51545,30.27272,37.92406,764.1372,160.2521,415.4995,4.937644,13.19475,26.7727,119.8624,13.99339,53.27664,1347.146,64.95651,22.19407,38755.32,551.3622,45.95956,53.82409,3.001288,2370.931,5864.161,38538.63,219.0492,136.4453,18.01161,3.001288,7.004507,2.000644,4.001948,1,5.003219,2,2.000644,4.001932,1,53.56585,13.00844,12.00779,18.01161,7.090516,175.047,2.804765
                      Jar_BLK_25,4670,44841.7839,4679.6436,4671,0,0,1508.303,750.4842,166.7204,7537.581,250.161,83.38699,166.774,193145.1,8242.413,10620.92,2554.728,12186.59,166.774,8030202,6.507679,0,245.6854,0,16.16853,0,15113.86,0,11463.59,62.21175,0,926102.1,858.5863,228.6546,1508.816,28.98005,17.85945,0,187589.7,419.3206,34.02236,16.87541,255.9433,8.13699,715.1052,43.16068,71.75871,101.5619,35.87809,111.8251,51.06318,214.2116,1722.414,2224.766,137.4616,12.60153,22.41147,129.9324,40.86848,84.69645,21.2415,27.24545,47.95219,663.2371,178.9978,387.7601,7.406467,23.31414,21.53257,97.33316,9.503324,53.13823,1382.652,95.97201,23.49952,38379.14,565.8967,58.67868,52.03373,3.001288,2503.968,5936.648,38675.29,205.0865,127.1503,16.19792,11.00708,1,3.001288,1,5.002592,2.829946,1,3.001288,4.001305,2.000644,69.04476,17.58944,5.003219,8.004507,3.001932,175.0947,2.804003
                      Jar_BLK_25,4671,44841.7839,4680.6436,4672,0,0,2084.697,1250.813,0,7269.967,250.161,416.9349,250.161,198899.7,6011.096,9231.284,2878.706,10394.99,83.38699,8160578,0,0,197.0146,16.2156,16.16853,16.07003,14618.14,14.73739,11099.52,49.76924,49.56998,915410.8,829.9194,124.2273,1354.739,9.662089,8.929727,0,179299.1,446.3919,34.02236,25.31311,268.5227,0,768.4202,53.64161,78.18139,82.51881,42.74841,100.0544,96.45277,277.6964,1638.347,2058.678,144.4944,37.7992,37.75284,144.7755,40.22567,68.40843,24.276,27.24549,44.54486,719.2498,153.7852,362.9738,7.406467,21.99127,29.254,125.6954,15.99248,48.46429,1359.249,78.32993,18.01159,38535.17,576.9311,67.56734,35.11648,4.002575,2484.393,5805.555,38707.11,208.1172,141.6172,16.01033,8.005167,3.001932,2.000644,2.001288,5.002576,7.004523,0,5.002576,4.001288,0,45.0291,25.01616,5.003219,14.00903,6.003863,175.047,2.804765
                      Jar_BLK_25,4672,44841.7839,4681.6436,4673,0,83.38699,2251.469,1050.976,0,7381.659,166.7204,0,500.3219,187506.8,7218.943,9837.58,2777.19,11612.21,333.5479,8173996,41.16143,0,287.9128,64.89369,27.04916,32.14006,14818.32,0,11711.87,37.32693,45.84255,924560.1,1063.099,158.5014,1911.604,0,7.639102,0,192382.4,376.6258,51.03354,0,216.6447,24.40574,633.6597,54.82178,79.23894,82.51881,30.53481,88.28338,56.73705,260.4549,1575.885,2177.397,147.5079,8.401023,43.94874,179.1254,25.59817,45.6057,21.24155,24.21817,58.34484,687.3326,129.9381,382.614,12.34415,24.19035,19.37939,137.1095,7.996223,49.3942,1369.736,77.32224,14.00903,38297.11,559.2617,59.03834,64.04163,4.001932,2429.535,5915.396,38391,227.4848,153.1965,17.011,7.004507,3.001288,3.001288,1,3.000644,2.000644,2.000644,1,1,2.000644,44.02848,11.0071,12.00773,4.001932,6.003863,174.9994,2.805528
                      Jar_BLK_25,4673,44841.7839,4682.6436,4674,0,83.33335,1748.209,750.4856,83.33335,6399.387,0,166.774,333.5479,204558.7,6644.049,7081.785,2001.605,11659.71,155.2105,8672169,41.16143,0,303.6466,16.22603,32.35788,16.05969,14530.87,0,10814.89,24.88462,24.78499,914367.4,830.4477,88.50601,1723.488,0,8.929727,8.899638,185402.6,382.8551,25.51677,25.31311,205.9505,8.13699,626.6027,71.93439,75.07355,111.0213,34.26783,85.30559,45.3895,251.7641,1665.087,2281.841,162.4569,25.20314,27.36658,190.7494,21.94124,52.12067,12.138,29.10793,53.10291,747.9315,133.6937,419.4042,9.875289,15.39384,17.22603,141.2434,8.823956,51.17035,1369.154,82.07634,26.01682,39043.05,550.3184,65.04241,52.0338,7.003864,2435.832,5878.31,38599.97,227.3874,148.6505,21.69369,11.00708,2.001288,4.001288,6.003863,6.003863,4.002575,0,3.001932,1,2.000644,53.03429,25.01613,11.00708,13.00774,9.005811,175.0947,2.804003
                      Jar_BLK_25,4674,44841.7839,4683.6436,4675,0,83.38699,1868.571,1357.976,0,7438.503,333.5479,250.161,667.0972,196415.1,7155.4,9408.634,3030.627,10853.28,0,7595941,41.13496,25.05817,368.05,16.22603,16.17894,16.05969,15515.48,0,11140.06,24.88462,24.78499,912059.6,1137.147,202.8244,1797.083,0,8.929727,8.899638,180731.1,336.87,20.93173,33.75081,181.1512,8.131756,703.9642,25.68297,73.43531,57.12837,42.74861,105.8705,45.38968,270.168,1699.526,2365.308,190.6731,21.00256,63.92571,182.1357,10.97062,71.47521,32.90556,18.16363,46.67595,755.0391,110.3102,366.5085,9.875289,26.38947,17.226,121.6587,11.99433,62.97894,1318.682,70.44926,16.87023,38900.45,568.3982,52.53415,44.14579,8.004523,2432.548,5971.836,38545.7,202.6029,130.4432,14.00903,11.00715,9.232503,4.002575,2.000644,5.002576,4.001932,0,2,3.000644,3.001288,54.03497,20.01288,13.00837,9.005811,3.000644,175.0232,2.805147
                      Jar_BLK_25,4675,44841.7839,4684.6436,4676,0,83.38699,1245.113,1000.646,83.38699,7649.071,186.3178,166.774,166.774,204655.1,7737.635,10247.37,2535.16,11362.17,0,8915546,41.13496,25.04205,350.9804,16.22603,32.35788,14.46,15135.05,14.72791,11261.99,49.76924,24.78499,913350.9,1076.948,132.5004,1853.266,0,26.78918,0,178650.2,590.5514,29.4207,16.87541,282.9232,8.13699,750.0005,21.5804,72.63581,66.06717,36.74876,94.16811,62.41055,269.1454,1768.303,2138.492,148.3309,29.40358,27.96738,144.9469,14.62749,40.87835,20.70216,36.32745,53.39916,686.1757,176.1455,438.646,9.875289,24.44806,27.99228,136.6484,5.997168,47.2341,1299.861,68.7775,24.0155,38796,560.5226,42.551,58.03754,6.003219,2467.935,5901.885,38876.55,195.0311,141.9643,22.01421,10.00646,11.0071,4.001288,6.00388,3.001288,1.000644,1,8.004507,0,2.000644,51.54904,14.39209,7.278121,3.001288,12.0071,175.0232,2.805147
                      Jar_BLK_25,4676,44841.7839,4685.6436,4677,83.33335,83.33335,1917.917,1133.546,266.7732,8170.875,166.774,83.38699,250.161,194349.5,7211.893,10510.57,2921.053,10708.25,83.38699,8028396,41.13496,14.03724,385.9757,0,0,48.21009,15074.14,0,11377.32,16.16042,12.3925,924622,952.0395,147.0167,1774.984,19.31796,19.72562,26.69892,186734.3,433.0828,42.52809,8.437703,225.731,0,699.7701,50.35411,124.7656,82.51881,44.9789,105.94,73.9464,189.2737,1802.849,2127.312,172.9359,16.80205,51.93962,121.1255,47.53941,87.4133,39.44854,21.1909,26.27792,730.7826,169.0007,464.1035,2.468822,30.78775,17.226,130.8245,1.999056,59.18088,1379.581,62.32942,18.01167,38520.61,525.1967,58.00644,59.03832,6.003236,2451.977,5851.816,38363.21,210.8588,125.614,16.01032,12.00774,3.001288,2.000644,7.941983,4.002575,7.004507,3.001288,5.00322,1.000644,3.000644,51.54891,21.74842,18.01163,13.0084,6.003863,174.9751,2.805147
                      Jar_BLK_25,4677,44841.7839,4686.6436,4678,0,0,1782.247,768.4008,0,6799.573,166.774,0,500.3233,201735.9,7065.161,9421.582,2917.127,12040.41,250.161,7959720,123.4843,45.22216,196.8092,16.22603,16.17894,16.07003,14816.14,0,11250.5,87.09616,12.3925,922066.2,1017.141,106.7896,1663.195,9.662089,8.929727,8.899638,187288.8,406.4276,25.51677,8.437703,274.6017,16.27398,751.365,64.74097,73.3326,95.09013,57.65774,52.96956,85.10567,250.118,1861.799,2234.235,126.7569,4.19781,27.96738,166.8014,29.25499,92.73866,15.1725,24.21822,27.75933,782.1422,168.3874,424.2719,7.404879,6.59736,5.887792,128.1786,5.997168,43.29775,1356.172,92.86753,19.66114,39048.81,548.5458,65.04224,59.3822,4.415617,2409.083,5790.105,38123.64,222.1242,163.1109,21.01357,8.004507,5.001932,1.000644,5.002576,9.005795,5.002576,1,3.001288,2,2.000644,41.0265,24.12493,8.004524,9.005151,7.004507,175.0709,2.804384
                      Jar_BLK_25,4678,44841.7839,4687.6436,4679,83.33335,83.38699,1739.087,1194.131,250.161,7713.442,83.38699,416.9349,621.6578,186885.1,7215.541,9497.142,3281.554,10986.48,166.774,7159772,41.16143,25.04205,347.0042,0,0,16.05969,14292.48,29.46531,11642.94,37.32693,61.96248,911512.8,1100.645,178.8062,1742.8,9.662089,17.85945,35.59855,176605.2,535.9525,8.500119,25.31311,304.54,24.40574,817.7493,61.34095,85.8424,91.51939,47.11379,94.07644,75.39816,236.9321,1811.568,2250.938,164.0674,33.58768,31.96272,137.3992,32.91204,90.99515,6.069,36.32731,40.84134,703.3947,137.7502,384.7675,2.467234,21.9912,13.59239,112.8002,13.99339,45.95779,1261.841,87.65841,20.06763,38823.61,597.6832,64.44817,46.02982,4.001932,2458.494,5881.047,38245.41,221.5067,138.59,17.00966,9.005795,3.001932,2.000644,6.00322,7.004507,4.001932,3.000644,3.000644,0,2.000644,63.55687,17.90215,6.003863,13.00773,7.004507,174.9989,2.804765
