,AbsTime,RelTime,Cycle,m15.010 (B_m15.010) (Corr),m15.973 (B_m15.973) (Corr),m16.982 (B_m16.982) (Corr),m17.009 (B_m17.009) (Corr),m18.018 (B_m18.018) (Corr),m18.886 (B_m18.886) (Corr),m18.940 (B_m18.940) (Corr),m19.016 (B_m19.016) (Corr),m19.454 (B_m19.454) (Corr),m19.737 (B_m19.737) (Corr),m20.009 (B_m20.009) (Corr),m21.008 (B_m21.008) (Corr),m26.999 (B_m26.999) (Corr),m27.988 (B_m27.988) (Corr),m28.991 (B_m28.991) (Corr),m29.975 (B_m29.975) (Corr),m30.989 (B_m30.989) (Corr),m31.976 (B_m31.976) (Corr),m32.973 (B_m32.973) (Corr),m33.005 (B_m33.005) (Corr),m33.968 (B_m33.968) (Corr),m36.641 (B_m36.641) (Corr),m36.917 (B_m36.917) (Corr),m37.017 (B_m37.017) (Corr),m37.663 (B_m37.663) (Corr),m37.752 (B_m37.752) (Corr),m38.004 (B_m38.004) (Corr),m39.002 (B_m39.002) (Corr),m41.007 (B_m41.007) (Corr),m42.002 (B_m42.002) (Corr),m43.016 (B_m43.016) (Corr),m43.975 (B_m43.975) (Corr),m45.002 (B_m45.002) (Corr),m45.962 (B_m45.962) (Corr),m47.035 (B_m47.035) (Corr),m48.022 (B_m48.022) (Corr),m48.979 (B_m48.979) (Corr),m49.978 (B_m49.978) (Corr),m50.999 (B_m50.999) (Corr),m53.014 (B_m53.014) (Corr),m55.014 (B_m55.014) (Corr),m57.037 (B_m57.037) (Corr),m59.023 (B_m59.023) (Corr),m60.023 (B_m60.023) (Corr),m61.011 (B_m61.011) (Corr),m62.003 (B_m62.003) (Corr),m63.002 (B_m63.002) (Corr),m65.030 (B_m65.030) (Corr),m69.041 (B_m69.041) (Corr),m71.048 (B_m71.048) (Corr),m73.032 (B_m73.032) (Corr),m74.027 (B_m74.027) (Corr),m75.019 (B_m75.019) (Corr),m77.010 (B_m77.010) (Corr),m78.017 (B_m78.017) (Corr),m79.022 (B_m79.022) (Corr),m81.017 (B_m81.017) (Corr),m83.059 (B_m83.059) (Corr),m85.058 (B_m85.058) (Corr),m87.031 (B_m87.031) (Corr),m88.048 (B_m88.048) (Corr),m89.035 (B_m89.035) (Corr),m90.925 (B_m90.925) (Corr),m91.020 (B_m91.020) (Corr),m93.013 (B_m93.013) (Corr),m94.016 (B_m94.016) (Corr),m95.027 (B_m95.027) (Corr),m96.029 (B_m96.029) (Corr),m97.057 (B_m97.057) (Corr),m101.057 (B_m101.057) (Corr),m103.045 (B_m103.045) (Corr),m105.032 (B_m105.032) (Corr),m107.032 (B_m107.032) (Corr),m109.059 (B_m109.059) (Corr),m111.078 (B_m111.078) (Corr),m117.060 (B_m117.060) (Corr),m125.093 (B_m125.093) (Corr),m143.113 (B_m143.113) (Corr),m149.027 (B_m149.027) (Corr),m151.034 (B_m151.034) (Corr),m203.960 (B_m203.960) (Corr),m204.933 (B_m204.933) (Corr),m205.922 (B_m205.922) (Corr),m207.005 (B_m207.005) (Corr),m217.909 (B_m217.909) (Corr),m223.046 (B_m223.046) (Corr),m224.050 (B_m224.050) (Corr),m225.026 (B_m225.026) (Corr),m228.995 (B_m228.995) (Corr),m266.983 (B_m266.983) (Corr),m268.971 (B_m268.971) (Corr),m281.054 (B_m281.054) (Corr),m282.058 (B_m282.058) (Corr),m283.028 (B_m283.028) (Corr),m285.015 (B_m285.015) (Corr),m286.988 (B_m286.988) (Corr),m297.068 (B_m297.068) (Corr),m299.047 (B_m299.047) (Corr),m329.812 (B_m329.812) (Corr),m330.846 (B_m330.846) (Corr),m331.860 (B_m331.860) (Corr),m341.026 (B_m341.026) (Corr),m342.022 (B_m342.022) (Corr),m343.009 (B_m343.009) (Corr),m355.131 (B_m355.131) (Corr),m356.143 (B_m356.143) (Corr),m357.094 (B_m357.094) (Corr),m358.080 (B_m358.080) (Corr),m359.040 (B_m359.040) (Corr),m360.035 (B_m360.035) (Corr),m371.127 (B_m371.127) (Corr),m372.127 (B_m372.127) (Corr),m373.088 (B_m373.088) (Corr),m374.079 (B_m374.079) (Corr),m375.072 (B_m375.072) (Corr),m376.054 (B_m376.054) (Corr),m429.097 (B_m429.097) (Corr),m430.093 (B_m430.093) (Corr),m431.089 (B_m431.089) (Corr),m432.081 (B_m432.081) (Corr),m433.068 (B_m433.068) (Corr),m445.114 (B_m445.114) (Corr),m446.115 (B_m446.115) (Corr),m447.099 (B_m447.099) (Corr),m448.096 (B_m448.096) (Corr),m449.089 (B_m449.089) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
126,44843.753,126,127,250.1073,2532.684,1334.2,3594.008,26457.04,3409.146,3859.198,29613260,173201.8,9875.207,39721.41,26682100,327.5112,683.172,46921.98,31028.8,382.9254,2122194,5003.298,2981.256,3239.831,26.9331,116.5502,776068,0,25.3468,709.0978,1451.335,21.62442,89.69314,105.7779,327.562,238.2271,211.1533,106.6648,21.93376,0,298.3212,1625.071,1721.735,168.5528,25.2228,192.0146,15.62418,106.9377,0,18.29619,42.16576,87.98734,21.98888,34.27433,5.947457,99.28751,959.3016,193.0108,49.04959,338.1039,17.30343,14.14718,13.51691,23.91379,15.09196,95.36615,115.6305,30.01048,49.23501,1473.06,76.47562,16.95292,5.363506,3.490682,44.34058,15.00437,8.150089,7.972181,1.497649,1.387599,3.619574,12.79282,5.746297,65297.81,642.6902,29.0188,4.001932,44.02856,4.002575,1,9.005151,0,3.001288,4.001932,8.004524,5.002576,5.002576,1,0,3.001288,1,4522.383,47620.3,180.7318,0,2.000644,1,2.000644,1,2.000644,1,1,2.000644,1,2.000644,2,2.001288,1,1,2.000644,1,2.000644,2.000644,1,1,0,2,0,0,176.3181,2.784547,                      Jar_BLK_36
127,44843.753,127,128,150.1081,833.8189,1620.795,2622.498,27896.76,2088.607,2971.327,30290140,218520,10869.56,43273.5,28355750,218.218,652.5898,45984.14,29989.08,237.6768,2031106,4795.06,2977.613,3049.737,17.9554,106.0867,1159366,67.91055,25.3468,850.6762,2140.814,45.89558,52.20406,157.1695,267.461,160.5358,176.9177,113.9136,21.93729,10.6172,257.1375,1251.063,1520.05,179.8663,65.83006,128.0105,11.71814,196.3492,11.21226,25.61797,70.2802,101.011,9.424673,78.77444,14.87151,138.5772,881.2916,154.4144,56.769,280.7744,19.7738,9.432438,24.77959,24.22488,17.24799,101.7071,139.4429,38.01676,86.48451,1902.108,128.0498,20.72032,3.575651,3.490682,35.81334,6.668599,8.150088,11.16249,4.494875,3.861743,3.619574,29.07636,14.94427,58803.18,570.546,25.93863,3.001288,40.02596,6.003863,3.001932,5.002576,3.001288,1,1,20.01223,5.002576,3.001288,2,3.001288,2.000644,6.003219,4130.978,44505.46,174.0952,1,1,0,5.003219,3.000644,1,1,5.00322,0,0,2.000644,2.000644,0,1.000644,2.000644,4.001932,3.000644,3.001288,1,1,0,2.000644,2.000644,1,3.000644,176.1974,2.786454,                      Jar_BLK_36
128,44843.753,128,129,166.774,1584.368,1079.505,3317.944,30651.85,2718.246,3633.344,30261930,212721.3,11237,46085.95,26235400,317.5119,599.7907,44926.67,29927.02,237.6762,1995048,4563.892,2712.115,3053.835,25.09197,175.5516,1141514,135.8212,19.55466,853.8066,2084.888,72.08152,41.39662,207.6965,419.7643,171.1362,218.2029,205.1184,5.484323,15.93264,236.2357,1309.57,1371.49,208.4933,16.8188,171.9837,15.62424,232.974,14.94734,29.54221,28.11199,107.5402,12.56421,63.62547,11.89874,125.5167,868.4895,159.9299,56.76883,323.9264,9.887653,4.716219,38.29788,8.807618,19.40399,114.1696,122.2664,47.20825,80.7456,1938.773,110.847,11.96417,12.34717,10.47092,32.40042,6.666455,4.877318,12.75616,1.498613,4.164583,4.826098,23.2603,5.747037,59058.51,583.6854,25.01618,9.005795,35.02269,6.003863,1,9.005795,6.00322,2.000644,4.001932,15.00905,6.003863,3.000001,1.000644,1,3.001288,7.004507,4063.555,43686.67,147.5096,2.001288,2.070358,0,6.003863,1.000644,2.000644,3.001288,2,2.000644,4.002575,2.000644,1,3.000644,1,0,1,0,1,1,2.000644,0,0,0,0,1,176.1012,2.788743,                      Jar_BLK_36
129,44843.753,129,130,459.7685,1404.069,930.9402,4020.895,30847.38,3889.843,2317.335,30019810,212274.4,10013.77,49086.32,27753580,258.2486,622.022,45490.66,29603.39,145.2464,2002711,4678.078,2960.056,3445.651,8.977701,85.60822,1144812,68.07642,33.79573,785.5145,2198.94,72.08176,20.69387,165.2394,245.6464,177.2482,166.3089,146.5772,5.480795,0,254.0188,1284.776,1400.422,194.6923,54.66118,150.3957,23.43627,259.7085,0,40.25687,49.196,107.5405,21.9909,32.96664,6.04814,183.9793,831.3536,200.3129,42.68221,297.5423,9.887653,16.50681,33.14113,22.02262,17.7533,105.4125,151.6642,47.13845,100.4398,2014.194,111.2371,19.14561,5.363477,6.981365,30.69609,8.334677,16.30018,11.39919,4.49584,2.776091,2.413049,18.28173,8.046165,59371.41,635.551,31.02009,9.005795,37.02395,5.002576,1,9.005151,3.001948,2.000644,2.000644,16.01038,6.00322,4.572888,1,5.002592,2.000644,4.001932,3966.823,44097.68,174.2353,2.000644,0.2109375,0,44.02848,12.00774,17.01034,6.00322,2,3.001288,9.005151,1.000644,0.5081394,2.000644,3.001288,0,1,4.001932,2.000644,1,1,3.001288,1,0,0,3.001288,175.9084,2.791032,                      Jar_BLK_36
130,44843.753,130,131,83.38699,1726.205,1057,3092.2,29538.98,2801.64,3253.357,30048780,223270.1,9321.223,44739,27613970,476.2669,665.6011,46310.51,30146.45,319.9463,1983684,4845.496,2644.422,3238.352,42.25832,159.0955,1140543,76.39937,16.89787,667.1437,2021.782,79.28966,41.39674,116.2886,305.2777,192.0273,194.6054,184.0921,5.484323,5.308602,228.5629,1310.495,1430.361,218.647,25.2255,182.2812,15.62431,317.0129,14.94728,25.61797,42.16576,96.24869,37.69672,61.22294,5.94937,170.8123,886.3432,148.457,65.12173,289.34,16.5004,5.001771,31.53948,33.0325,17.24803,109.5556,156.5851,44.12861,88.98571,2110.727,139.3374,26.3712,17.87831,5.236024,23.87449,8.334677,16.3002,3.189282,2.997226,1.387599,3.618798,30.23951,13.79466,59643.16,546.858,34.02197,12.40579,29.0181,7.003864,7.004507,5.002575,2.829413,3.001288,4.001932,17.0103,5.198316,3.001288,7.003863,6.003863,1,8.004507,4016.328,44114.17,168.5883,1,1,1,101.0697,39.02521,21.01356,10.00579,1,2.000644,12.0071,4.001932,11.00645,2,2.000644,0,3.001288,0,2.000644,0,1,0,1,0,0,0,175.9084,2.791032,                      Jar_BLK_36
131,44843.753,131,132,83.33335,1584.366,923.9426,2419.553,30596.88,3135.191,2205.846,30386850,219176.2,12037.78,44673.57,29194840,322.7049,529.2258,44833.29,30237.75,290.4945,1993049,4816.21,2653.287,3259.836,17.9554,118.9158,1151928,59.42173,23.11905,974.4568,2145.323,52.69544,55.19118,163.432,247.4925,128.3521,206.4039,165.6836,16.45297,10.62404,309.2717,1381.178,1380.796,227.5293,42.04438,149.4658,15.62167,265.0435,3.735017,40.25451,45.68201,111.9388,21.98888,60.59574,26.76839,154.8669,905.6575,143.3939,75.69197,253.9673,32.13499,7.884929,31.53944,35.57894,7.108045,107.0338,130.1429,65.07483,80.71454,2210.939,114.6639,19.02788,12.51481,5.548517,23.87558,13.33613,9.385336,9.567847,5.994452,0,7.239148,24.4234,11.49559,61754.03,633.4032,33.70927,10.00644,42.34781,10.00581,6.003863,11.00646,2.001288,3.000644,3.001288,18.01099,6.003863,8.004507,2.000644,4.001932,5.003219,8.004524,4037.381,45923.03,159.1888,0,0,3.001288,131.1409,39.02528,30.01884,10.00581,3.001932,2.000644,18.01161,8.005151,10.00644,6.002592,2.000644,0,1,2.001288,0,2,3.001288,3.000644,0,0,3.001288,1.828769,175.6922,2.794466,                      Jar_BLK_36
132,44843.753,132,133,166.7204,1146.124,833.7641,3835.572,26864.69,3125.121,3018.259,29464310,212318.7,9175.745,45370.73,28867620,197.3193,577.3235,43020.5,30376,268.0312,1997296,4967.693,2845.243,3157.32,44.8885,99.78408,1156791,59.42173,37.73967,989.3571,1953.146,93.7013,27.59786,152.056,286.2157,155.6052,182.7937,168.7984,16.45297,5.308602,308.6089,1248.187,1443.49,243.9814,46.25205,180.0153,23.43376,192.8959,11.20986,14.63884,59.73809,136.8697,28.27407,60.59569,14.87151,157.6854,914.2811,192.7509,64.87886,339.0563,9.887653,19.84128,18.0225,15.41581,12.93597,108.9799,145.4404,36.01582,102.4092,2411.146,145.6234,30.43271,3.575651,3.449776,46.47201,10.00183,17.79011,4.783924,8.991702,4.165476,4.825322,32.56486,12.64513,62523.84,615.0279,23.32756,14.71259,43.02718,13.00837,4.002575,3.001288,0,1.000644,8.005151,10.00515,6.003863,5.002576,4.001288,5.002576,3.001288,7.004523,4240.894,46419.23,149.807,3.001288,3.001288,2.001288,150.1535,26.01682,22.01418,5.510715,6.00322,5.003219,26.01616,4.001932,10.00646,5.002592,3.001288,3.001288,1,4.001932,1.000644,0,0,3.001288,1.000644,2,2.000644,1,175.7162,2.794084,                      Jar_BLK_36
133,44843.753,133,134,83.38699,2001.007,794.9464,4665.041,28206.6,3936.135,3245.687,29775040,218313.5,10538.35,49242.44,28180310,289.2057,656.2338,43034.2,31082.64,249.5907,2018186,5215.616,3079.102,3392.219,26.9331,114.8583,1161078,84.88818,16.89787,856.3983,2000.913,75.85465,82.78903,218.1442,221.9184,177.8933,208.1798,99.46069,0,5.308602,331.956,1326.419,1452.509,195.1846,35.88514,187.5174,27.33987,260.4596,3.735017,21.95832,45.68195,93.18085,31.41562,51.50621,14.87343,156.4992,914.8773,154.6183,43.86485,294.2947,19.77531,11.78751,31.5394,30.83031,15.09196,106.8554,155.4197,40.70543,114.212,2489.478,111.6472,26.37123,12.51478,8.725584,23.87564,8.335749,21.19031,7.973206,4.49584,5.553968,4.825323,27.9126,19.54174,61904.56,553.0148,26.01689,8.005151,42.02734,8.005151,5.002575,11.0058,7.003864,0,3.001288,16.00966,2.000644,5.003219,3.001288,4.002575,4.001932,3.001288,4198.193,46116.39,204.3208,0,2.000644,1,135.1209,34.02207,31.02012,11.00644,6.00322,1,16.01032,9.005152,5.002576,6.00322,2.000644,1,3.000644,2.000644,1,0,1,3.001288,3.001288,1.171875,2.000644,1,175.7402,2.793703,                      Jar_BLK_36
134,44843.753,134,135,83.33335,1667.701,1406.023,3501.673,32081.32,2801.64,3432.084,30457030,216285.8,10979.8,44122.12,29404020,325.1333,667.081,44374.77,29799.26,211.2675,1999191,4848.531,2771.501,3006.059,60.09098,114.896,1156940,50.93305,8.448934,792.299,2133.105,50.45234,27.59775,189.5173,248.0297,210.2324,212.3014,123.4008,16.45297,0,243.7115,1331.788,1542.271,201.2752,33.63227,234.5425,23.43376,236.7904,15.72108,54.8933,59.73804,99.24673,37.69677,72.7148,17.8462,183.2379,1002.638,132.3523,56.76887,322.6532,27.19109,14.14869,40.55066,25.68732,19.40395,132.5437,159.3457,38.01665,126.0424,2483.605,177.337,18.8366,1.787826,0,32.40256,11.67005,16.59315,3.188257,5.993488,5.553968,4.826098,30.24851,14.94354,62450.85,601.481,22.0142,9.154344,37.02041,18.01162,2.000644,8.005167,4.001932,2.001288,2.000644,8.005151,7.004523,2.000644,5.878139,1,3.001288,7.003863,4166.786,46160.91,159.6765,4.002592,1,0,134.1247,24.01481,22.01418,9.005795,4.001932,1,13.00773,8.005151,13.00837,6.003863,6.00388,1,3.000644,0,3.001288,5.001932,4.001932,2.000644,2.000644,0,4.001932,1,175.9084,2.791032,                      Jar_BLK_36
135,44843.7531,135,136,0,1559.428,416.9363,3034.863,30056.97,2878.512,3001.973,30337330,214061.8,9902.558,44254.61,28031450,235.3035,590.2805,45587.53,30059.37,187.9023,2001635,4585.535,2575.199,3068.012,35.91095,61.66268,1158072,110.3549,25.3468,829.6536,2118.132,64.87337,28.89139,174.1497,292.63,169.6202,129.4513,162.6578,28.88204,10.62062,257.1551,1667.839,1610.654,217.3504,67.00435,164.0143,3.906045,223.9106,11.20986,3.657356,63.25214,98.25396,34.55713,72.11723,8.924056,178.1386,970.4229,148.9089,79.80997,324.1783,27.19105,2.358109,38.29647,28.62936,15.092,86.17802,122.2517,33.10821,135.1967,2815.191,103.1005,15.06926,14.30263,10.47205,28.99075,8.335776,9.780107,4.782898,5.994452,5.553075,3.618798,39.54401,10.34529,61763.6,562.8036,26.01681,6.003863,30.28526,7.379765,3.000644,5.003219,3.001288,2.001288,9.005167,14.00901,5.00322,8.005151,3.001932,3.001288,3.001288,9.005151,4066.515,46115.5,181.2538,5.003219,1,1,129.1065,39.22071,28.01806,7.004523,2.000644,2.000644,20.01227,3.001288,10.00645,3.001932,3.001932,2,2.000644,1,0,0,0,1.000644,1.000644,0,1,2.000644,175.8603,2.791795,                      Jar_BLK_36
