,AbsTime,RelTime,Cycle,m17.009 (B_m17.009) (Corr),m18.018 (B_m18.018) (Corr),m18.887 (B_m18.887) (Corr),m18.940 (B_m18.940) (Corr),m19.015 (B_m19.015) (Corr),m19.454 (B_m19.454) (Corr),m19.739 (B_m19.739) (Corr),m20.008 (B_m20.008) (Corr),m21.009 (B_m21.009) (Corr),m27.001 (B_m27.001) (Corr),m28.991 (B_m28.991) (Corr),m29.975 (B_m29.975) (Corr),m30.986 (B_m30.986) (Corr),m31.974 (B_m31.974) (Corr),m32.973 (B_m32.973) (Corr),m33.005 (B_m33.005) (Corr),m33.969 (B_m33.969) (Corr),m37.015 (B_m37.015) (Corr),m37.642 (B_m37.642) (Corr),m37.692 (B_m37.692) (Corr),m38.002 (B_m38.002) (Corr),m39.002 (B_m39.002) (Corr),m41.006 (B_m41.006) (Corr),m42.002 (B_m42.002) (Corr),m43.017 (B_m43.017) (Corr),m43.975 (B_m43.975) (Corr),m44.994 (B_m44.994) (Corr),m45.962 (B_m45.962) (Corr),m46.993 (B_m46.993) (Corr),m50.999 (B_m50.999) (Corr),m53.013 (B_m53.013) (Corr),m55.014 (B_m55.014) (Corr),m57.037 (B_m57.037) (Corr),m59.027 (B_m59.027) (Corr),m60.025 (B_m60.025) (Corr),m61.016 (B_m61.016) (Corr),m62.992 (B_m62.992) (Corr),m69.041 (B_m69.041) (Corr),m71.050 (B_m71.050) (Corr),m73.028 (B_m73.028) (Corr),m75.023 (B_m75.023) (Corr),m77.009 (B_m77.009) (Corr),m78.018 (B_m78.018) (Corr),m81.019 (B_m81.019) (Corr),m83.058 (B_m83.058) (Corr),m88.050 (B_m88.050) (Corr),m89.043 (B_m89.043) (Corr),m90.924 (B_m90.924) (Corr),m91.019 (B_m91.019) (Corr),m93.009 (B_m93.009) (Corr),m94.015 (B_m94.015) (Corr),m95.026 (B_m95.026) (Corr),m96.028 (B_m96.028) (Corr),m97.059 (B_m97.059) (Corr),m103.044 (B_m103.044) (Corr),m117.061 (B_m117.061) (Corr),m149.025 (B_m149.025) (Corr),m203.960 (B_m203.960) (Corr),m204.933 (B_m204.933) (Corr),m205.922 (B_m205.922) (Corr),m217.913 (B_m217.913) (Corr),m223.045 (B_m223.045) (Corr),m225.025 (B_m225.025) (Corr),m281.052 (B_m281.052) (Corr),m283.022 (B_m283.022) (Corr),m286.981 (B_m286.981) (Corr),m329.810 (B_m329.810) (Corr),m330.843 (B_m330.843) (Corr),m331.863 (B_m331.863) (Corr),m341.023 (B_m341.023) (Corr),m355.128 (B_m355.128) (Corr),m356.139 (B_m356.139) (Corr),m357.085 (B_m357.085) (Corr),m358.077 (B_m358.077) (Corr),m359.037 (B_m359.037) (Corr),m371.124 (B_m371.124) (Corr),m372.129 (B_m372.129) (Corr),m373.085 (B_m373.085) (Corr),m374.076 (B_m374.076) (Corr),m375.062 (B_m375.062) (Corr),m429.098 (B_m429.098) (Corr),m430.094 (B_m430.094) (Corr),m431.090 (B_m431.090) (Corr),m432.082 (B_m432.082) (Corr),m445.108 (B_m445.108) (Corr),m446.110 (B_m446.110) (Corr),m447.100 (B_m447.100) (Corr),m448.091 (B_m448.091) (Corr),m449.089 (B_m449.089) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
3882,44843.8601,3883.4708,3883.0,1377.0320000000002,36940.45,3931.9440000000004,4972.545,28337270.0,1487804.0,16932.66,74126.37,35984440.0,819.2595,39200.85,25583.03,165.3015,613856.9,3626.377,6935.62,1141.16,3549208.0,601.9828,1034.378,5068.503,9556.229,993.5832,338.0769,2453.655,108.1263,3784.755,220.6178,569.6115,514.4152,690.5298,3372.9109999999996,607.658,3857.0009999999997,176.3457,366.6992,214.0263,390.7915,220.1621,529.1881,183.9632,660.5956,114.3707,203.1644,155.736,148.27,42.97027,106.5816,208.5413,64.76701,112.2583,4660.059,239.4998,149.0333,50.540859999999995,22.478920000000002,69.21673,49926.12,519.129,32.88062,34.02199,134.3138,57.03715,221.7307,288.6472,372.0536,1572.957,31992.82,144.149,166.2003,114149.6,3628.8940000000002,7420.6990000000005,998.7844,616.6184,18051.16,1499.569,10046.49,1090.9769999999999,673.8274,940.6939,224.3156,169.1984,41.02652,292.6348,90.05846,131.115,29.018690000000003,18.25819,175.8356,2.790651,236
3883,44843.8601,3884.4708,3884.0,1250.81,33383.79,4020.764,5536.937,28177550.0,1450429.0,18432.96,69801.43,37821720.0,884.277,39186.31,24723.93,439.1076,611009.4,3444.835,6917.9,1226.431,3425256.0,694.3514,1080.786,4984.74,9721.139000000001,817.0256,331.1765,2537.2670000000003,146.4132,3788.2659999999996,252.4773,511.7591,437.3599,706.2386,3349.171,601.0068,3771.375,116.8867,214.1869,206.5172,444.2747,192.073,519.4913,168.5874,522.979,121.3288,264.0131,156.933,189.3975,53.53828000000001,119.5237,177.4683,63.75881999999999,114.2432,4367.009,257.9389,123.472,61.088359999999994,16.48453,60.48001,48057.02,511.089,15.00966,36.02335,132.1486,46.02986,246.6898,290.7772,370.038,1499.5439999999999,30554.04,145.172,127.1087,107954.3,3596.7870000000003,7124.735,961.4363,569.2949,17343.04,1483.786,9502.07,1026.931,665.7538,495.797,110.0793,111.0764,23.01484,159.8841,58.975809999999996,75.04885,21.01357,15.009670000000002,175.6915,2.79294,236
3884,44843.8601,3885.4708,3885.0,917.2596,30323.93,5193.723,4727.198,28220320.0,1492299.0,17630.27,70260.69,34926350.0,790.0397,37960.16,26377.56,280.3522,613847.5,3304.5429999999997,7573.473000000001,1193.82,3489340.0,623.4073,1064.32,5640.0019999999995,10269.12,839.4752,356.1631,2298.717,184.8245,3850.442,175.8119,424.0858,508.6393,714.6093,3476.8309999999997,671.6584,3768.04,210.9194,303.2876,185.8418,416.6922,163.5413,516.4989,189.8038,609.4669,155.8836,290.3336,170.5681,173.9825,47.424820000000004,116.6531,185.6369,83.8081,89.85632,4588.786,244.6012,133.8699,54.10674,31.47046,65.13235,51734.82,489.339,23.17128,49.0318,119.8529,38.024640000000005,248.4847,310.9707,378.7843,1630.691,32959.13,140.4052,138.127,107952.7,3547.18,7043.596,930.2077,460.624,17015.2,1480.8529999999998,9484.957,1027.74,649.3625,259.2434,79.89581,51.76787,31.01935,87.05324,26.86107,43.934670000000004,19.01227,5.002576,175.5716,2.7948470000000003,236
3885,44843.8601,3886.4708,3886.0,1205.858,36997.65,4739.907999999999,4617.735,28221440.0,1482394.0,16190.47,70862.59,36519760.0,816.8117,39935.54,26132.97,356.6079,614859.2,3623.6659999999997,7582.107,1108.254,3611337.0,627.6753,1089.462,5443.392,9440.188,799.4237,332.4703,2591.365,178.1415,3390.528,210.1593,526.3889,576.771,720.3005,3344.417,761.2611,3540.849,148.4242,313.5879,217.4706,412.1744,204.6202,508.3329,177.2568,638.5652,137.2915,268.6371,199.0626,173.983,58.2033,96.00798,186.1148,71.65388,110.289,4768.77,290.7162,147.1185,63.25635,25.47622,61.20697,51379.99,532.8583,26.71257,36.0233,93.82664,51.033229999999996,210.9272,305.437,410.2506,1578.461,32436.45,133.4911,119.0964,108753.6,3638.242,7037.224,955.5515,503.8701,17197.92,1516.09,9428.385,1038.869,641.5526,137.1189,51.03305,38.02458,15.00971,59.69489,16.00966,40.02599,13.868329999999998,4.001932,175.6915,2.79294,236
3886,44843.8601,3887.4708,3887.0,750.4883,33523.0,3867.125,6265.59,27090410.0,1496364.0,16990.44,70781.41,36998580.0,803.7538,38061.41,25847.99,253.9371,620072.2,3967.2070000000003,8500.476999999999,1337.141,3476691.0,620.2137,1113.007,5253.956,9758.610999999999,896.844,339.3718,2511.54,165.4446,3533.655,243.0424,659.858,568.1846,655.6548,3345.075,652.2632,3460.813,171.4644,244.8482,215.5544,407.005,219.9973,459.1984,136.3297,579.686,140.0611,295.5115,178.1769,134.3341,44.96601,123.8051,234.6219,64.03217,86.65543000000001,4649.06,275.3796,133.8243,62.83368000000001,22.47887,68.22180999999999,50965.73,529.4462,26.01681,49.829240000000006,75.51015,45.49054,257.7654,340.1985,399.5019,1617.944,33034.83,152.6579,111.091,110330.3,3535.3740000000003,6890.085999999999,948.9051,474.3935,17515.36,1479.6770000000001,9620.639000000001,1018.842,646.5845,87.55702,44.63823,24.0155,17.01096,36.02333,20.0129,18.01164,13.00773,4.001932,175.7876,2.791414,236
3887,44843.8601,3888.4708,3888.0,917.261,34516.52,3902.408,5317.517,28002270.0,1504276.0,18329.75,68821.5,35070030.0,842.9001,37901.15,25709.67,346.2633,621678.5,3956.355,9186.487,917.0995,3529722.0,606.6536,1086.513,5249.919,9986.886999999999,936.5284,376.873,2405.312,159.011,3760.836,294.8643,487.8525,537.1833,688.1382,3100.724,654.218,3619.099,167.9548,313.6618,190.3453,446.0372,156.3376,517.2015,154.7632,681.2848,135.1165,263.0147,186.6169,126.0936,56.04747,129.2272,236.0384,81.82253,85.96276,4397.168,235.1922,118.6243,48.870540000000005,17.98309,82.57866999999999,50709.28,548.3522,23.014879999999998,48.03117,90.28555,45.02924,224.1284,294.5265,390.3474,1612.4360000000001,32644.86,149.1561,103.2315,110866.5,3666.2309999999998,7062.58,978.0342,489.1096,17360.61,1454.4489999999998,9571.786,1063.987,653.7794,65.04216,34.02197,32.02064,12.00774,28.018109999999997,20.01291,18.0116,12.00773,6.003863,175.6915,2.79294,236
3888,44843.8601,3889.4708,3889.0,1083.062,33394.0,3588.385,5687.985,28150280.0,1490148.0,18632.18,70342.05,36479720.0,985.2319,38385.7,25978.37,145.748,630104.9,4224.246,9268.179,1148.687,3548350.0,573.3886,964.2172,5462.2480000000005,9788.576,878.7471,367.319,2593.667,216.4776,3657.855,176.9173,651.6282,490.1796,816.4189,3294.945,597.6113,3684.679,137.1262,309.8442,164.7094,351.7229,229.3402,649.4678,157.6836,607.2311,137.8736,268.5174,217.5722,167.9704,90.53862,133.6003,216.2712,53.964659999999995,121.2128,4582.883,253.5316,144.833,76.79685,26.974690000000002,59.3128,50559.91,510.5573,27.39269,41.02584,87.15866,47.132090000000005,240.2496,306.5318,390.1762,1645.9920000000002,32282.74,179.7588,115.3361,111464.7,3656.7929999999997,7290.496,928.0976,511.8215,17408.33,1506.6860000000001,9604.905999999999,1029.765,637.2952,156.1824,51.40844,38.0246,12.00774,37.023920000000004,30.019370000000002,23.01481,21.013560000000002,10.00647,175.8359,2.791414,236
3952,44843.8609,3953.4708,3953.0,1348.694,34279.12,4152.238,5928.895,27670110.0,1327340.0,17549.96,69791.36,36555100.0,533.7407,40095.98,25982.75,152.4556,571035.8,2803.877,3641.742,1024.213,3455688.0,494.7565,808.2297,4280.057,7882.840999999999,518.7579,227.6734,1667.8829999999998,159.01,5174.235,211.9332,534.3853,413.5594,634.2169,2474.763,415.9901,2166.219,93.74149,232.9518,194.0054,264.922,131.623,216.087,100.1825,619.5101,154.8724,136.2494,120.1521,135.5736,44.629020000000004,97.46759,136.7587,64.50108,82.70934,4279.792,248.2567,54.625080000000004,41.88901,17.26892,61.643280000000004,51207.56,516.1678,26.01689,36.02333,415.6187,111.9706,171.89,58.03763000000001,14.008370000000001,1251.013,34227.16,134.2102,336.863,78.05071,24.015539999999998,268.5644,55.90351,280.5135,8.005152,5.0032190000000005,11.00708,4.002575,2.000644,14282.11,1537.59,1229.779,228.3474,3116.639,493.4485,989.118,208.8722,110.736,175.7402,2.793703,237
3953,44843.8609,3954.4708,3954.0,1099.671,36499.3,3695.635,4706.094,28269880.0,1421477.0,17220.93,74944.7,36604160.0,416.6374,38977.34,25843.68,183.0491,524058.7,3500.455,4426.695,1149.8339999999998,3472848.0,649.1011,806.1702,4960.210999999999,8497.044,596.7885,256.5753,1694.34,207.1609,5181.957,187.8856,531.4622,368.6478,691.1339,3184.093,454.7004,2259.724,85.92963,217.6756,227.6954,306.2523,182.2063,263.5458,160.6032,635.6079,135.1162,195.8693,119.1189,110.454,53.891740000000006,60.12495,132.1693,70.03532,88.61774,4628.845,210.3116,76.69888,59.3429,28.473309999999998,55.82768000000001,51691.7,555.9386,23.014879999999998,38.02467,391.2289,104.072,210.3392,100.0728,106.0807,1226.771,33576.8,130.0401,335.8539,15666.47,1358.1689999999999,1797.8929999999998,277.3012,421.1264,2010.2679999999998,308.7343,1276.476,193.2141,110.232,11122.62,1209.403,946.3945,200.5059,2649.8520000000003,470.5592,826.7996,186.5827,87.05666,175.7166,2.7948470000000003,237
3954,44843.8609,3955.4708,3955.0,850.322,40050.04,4137.3640000000005,4289.623,28730160.0,1447724.0,16955.75,68667.56,35936340.0,691.3771,39821.29,24797.95,293.5147,518415.8,2873.5,4540.139,1078.9589999999998,3433511.0,719.7189,972.6456,4954.787,9481.08,625.7304,269.0405,1902.5479999999998,149.9415,5197.063,288.4125,478.2822,397.9627,571.0205,3226.8179999999998,527.0817,2193.687,74.21171,244.3819,186.3203,343.0968,144.497,386.2775,122.6315,630.1926,137.864,221.6325,169.5443,133.4054,56.14853000000001,124.0971,178.0522,67.53392,68.93026,4674.776,244.9948,115.541,45.37989,22.47889,66.29131,51791.41,598.3524,24.0155,53.03441,383.8997,103.0825,208.3382,160.2002,169.2248,1196.378,33426.42,130.204,340.2586,46313.39,2605.061,3776.3190000000004,492.5277,548.004,6225.865,766.0116,3636.611,486.6983,257.526,8366.903,1057.762,863.188,156.0538,2033.115,407.6973,748.6774,133.1095,82.05374,175.7882,2.79294,237
