,AbsTime,RelTime,Cycle,m15.030 (B_m15.030) (Corr),m15.992 (B_m15.992) (Corr),m17.030 (B_m17.030) (Corr),m18.015 (B_m18.015) (Corr),m18.908 (B_m18.908) (Corr),m18.965 (B_m18.965) (Corr),m19.036 (B_m19.036) (Corr),m19.474 (B_m19.474) (Corr),m19.600 (B_m19.600) (Corr),m19.923 (B_m19.923) (Corr),m19.941 (B_m19.941) (Corr),m20.031 (B_m20.031) (Corr),m21.029 (B_m21.029) (Corr),m26.017 (B_m26.017) (Corr),m27.025 (B_m27.025) (Corr),m28.004 (B_m28.004) (Corr),m29.014 (B_m29.014) (Corr),m29.737 (B_m29.737) (Corr),m30.013 (B_m30.013) (Corr),m30.647 (B_m30.647) (Corr),m30.694 (B_m30.694) (Corr),m30.737 (B_m30.737) (Corr),m31.546 (B_m31.546) (Corr),m31.700 (B_m31.700) (Corr),m31.893 (B_m31.893) (Corr),m32.026 (B_m32.026) (Corr),m32.981 (B_m32.981) (Corr),m33.198 (B_m33.198) (Corr),m33.246 (B_m33.246) (Corr),m33.297 (B_m33.297) (Corr),m33.338 (B_m33.338) (Corr),m33.992 (B_m33.992) (Corr),m36.012 (B_m36.012) (Corr),m37.031 (B_m37.031) (Corr),m38.027 (B_m38.027) (Corr),m39.022 (B_m39.022) (Corr),m40.024 (B_m40.024) (Corr),m41.033 (B_m41.033) (Corr),m42.005 (B_m42.005) (Corr),m43.011 (B_m43.011) (Corr),m43.994 (B_m43.994) (Corr),m45.022 (B_m45.022) (Corr),m45.986 (B_m45.986) (Corr),m46.996 (B_m46.996) (Corr),m47.993 (B_m47.993) (Corr),m50.000 (B_m50.000) (Corr),m51.019 (B_m51.019) (Corr),m51.939 (B_m51.939) (Corr),m52.030 (B_m52.030) (Corr),m53.021 (B_m53.021) (Corr),m54.023 (B_m54.023) (Corr),m55.035 (B_m55.035) (Corr),m55.934 (B_m55.934) (Corr),m56.058 (B_m56.058) (Corr),m57.064 (B_m57.064) (Corr),m57.937 (B_m57.937) (Corr),m58.043 (B_m58.043) (Corr),m59.050 (B_m59.050) (Corr),m60.019 (B_m60.019) (Corr),m61.027 (B_m61.027) (Corr),m62.025 (B_m62.025) (Corr),m63.022 (B_m63.022) (Corr),m64.025 (B_m64.025) (Corr),m65.033 (B_m65.033) (Corr),m66.044 (B_m66.044) (Corr),m67.054 (B_m67.054) (Corr),m68.044 (B_m68.044) (Corr),m69.061 (B_m69.061) (Corr),m70.074 (B_m70.074) (Corr),m71.074 (B_m71.074) (Corr),m72.056 (B_m72.056) (Corr),m73.039 (B_m73.039) (Corr),m73.961 (B_m73.961) (Corr),m74.035 (B_m74.035) (Corr),m75.034 (B_m75.034) (Corr),m75.948 (B_m75.948) (Corr),m76.030 (B_m76.030) (Corr),m77.033 (B_m77.033) (Corr),m77.966 (B_m77.966) (Corr),m78.037 (B_m78.037) (Corr),m79.016 (B_m79.016) (Corr),m80.027 (B_m80.027) (Corr),m81.024 (B_m81.024) (Corr),m82.019 (B_m82.019) (Corr),m83.076 (B_m83.076) (Corr),m83.937 (B_m83.937) (Corr),m84.072 (B_m84.072) (Corr),m85.075 (B_m85.075) (Corr),m85.947 (B_m85.947) (Corr),m87.043 (B_m87.043) (Corr),m87.930 (B_m87.930) (Corr),m89.055 (B_m89.055) (Corr),m90.031 (B_m90.031) (Corr),m91.043 (B_m91.043) (Corr),m92.038 (B_m92.038) (Corr),m93.038 (B_m93.038) (Corr),m94.041 (B_m94.041) (Corr),m95.047 (B_m95.047) (Corr),m96.046 (B_m96.046) (Corr),m96.995 (B_m96.995) (Corr),m98.034 (B_m98.034) (Corr),m99.019 (B_m99.019) (Corr),m101.940 (B_m101.940) (Corr),m102.939 (B_m102.939) (Corr),m103.942 (B_m103.942) (Corr),m105.036 (B_m105.036) (Corr),m105.931 (B_m105.931) (Corr),m107.013 (B_m107.013) (Corr),m108.031 (B_m108.031) (Corr),m109.031 (B_m109.031) (Corr),m112.011 (B_m112.011) (Corr),m117.933 (B_m117.933) (Corr),m118.934 (B_m118.934) (Corr),m119.941 (B_m119.941) (Corr),m123.936 (B_m123.936) (Corr),m126.896 (B_m126.896) (Corr),m127.028 (B_m127.028) (Corr),m143.894 (B_m143.894) (Corr),m147.060 (B_m147.060) (Corr),m149.042 (B_m149.042) (Corr),m151.019 (B_m151.019) (Corr),m152.992 (B_m152.992) (Corr),m178.916 (B_m178.916) (Corr),m179.883 (B_m179.883) (Corr),m202.934 (B_m202.934) (Corr),m203.943 (B_m203.943) (Corr),m204.937 (B_m204.937) (Corr),m206.991 (B_m206.991) (Corr),m209.010 (B_m209.010) (Corr),m216.916 (B_m216.916) (Corr),m217.911 (B_m217.911) (Corr),m220.922 (B_m220.922) (Corr),m221.921 (B_m221.921) (Corr),m223.055 (B_m223.055) (Corr),m224.055 (B_m224.055) (Corr),m225.030 (B_m225.030) (Corr),m227.006 (B_m227.006) (Corr),m228.981 (B_m228.981) (Corr),m230.920 (B_m230.920) (Corr),m234.917 (B_m234.917) (Corr),m266.986 (B_m266.986) (Corr),m267.979 (B_m267.979) (Corr),m268.968 (B_m268.968) (Corr),m281.040 (B_m281.040) (Corr),m282.043 (B_m282.043) (Corr),m283.014 (B_m283.014) (Corr),m284.016 (B_m284.016) (Corr),m284.995 (B_m284.995) (Corr),m286.968 (B_m286.968) (Corr),m299.025 (B_m299.025) (Corr),m329.420 (B_m329.420) (Corr),m329.843 (B_m329.843) (Corr),m330.865 (B_m330.865) (Corr),m331.906 (B_m331.906) (Corr),m341.006 (B_m341.006) (Corr),m342.008 (B_m342.008) (Corr),m342.984 (B_m342.984) (Corr),m355.109 (B_m355.109) (Corr),m356.125 (B_m356.125) (Corr),m357.099 (B_m357.099) (Corr),m358.063 (B_m358.063) (Corr),m359.039 (B_m359.039) (Corr),m360.005 (B_m360.005) (Corr),m360.984 (B_m360.984) (Corr),m371.073 (B_m371.073) (Corr),m372.073 (B_m372.073) (Corr),m373.056 (B_m373.056) (Corr),m374.047 (B_m374.047) (Corr),m375.039 (B_m375.039) (Corr),m376.027 (B_m376.027) (Corr),m377.022 (B_m377.022) (Corr),m429.097 (B_m429.097) (Corr),m430.086 (B_m430.086) (Corr),m431.070 (B_m431.070) (Corr),m432.055 (B_m432.055) (Corr),m433.042 (B_m433.042) (Corr),m434.017 (B_m434.017) (Corr),m445.061 (B_m445.061) (Corr),m446.062 (B_m446.062) (Corr),m447.039 (B_m447.039) (Corr),m448.036 (B_m448.036) (Corr),m449.029 (B_m449.029) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
65,44841.9961,65.0,66.0,1408.662,44195.72,3582.765,8948.396999999999,180.4547,667.0986,5198288.0,333.5493,917.2582,250.161,333.5493,3752.836,5929.5509999999995,385.1314,435.1751,11071.96,6983.496999999999,90.47986,4535248.0,453.4088,302.8177,512.5525,358.7607,1600.5479999999998,712.7111,4034350.0,29221.78,4307.056,4867.554,5604.312,5871.776,21497780.0,123.0055,27839.95,75.3877,823.0894,109.232,207.2819,302.119,1816.029,7352.991,788.8083,21262.54,226.7729,132.5798,2247.0589999999997,1409.223,101.6389,2175.425,798.5723,76.05355,369.9475,225.9264,77.64304,120.9418,45.20427,32.78887,138.8725,89.84957,64.90373000000001,44.82734,481.8403,68.10368000000001,63.2475,58.5811,81.14048000000001,66.38277,149.2448,43.11486,40.82154,21.59075,60.58706,83.39323,98.50585,198.6293,130.3681,428.0147,317.7758,44.16426,60.5992,241.0151,185.4792,311.9346,46.487190000000005,51.88939,26.6338,24.13543,25.48684,52.99491,24.77453,30.912059999999997,19.395970000000002,255.9643,148.7534,66.16904,50.00158,2618.906,330.0195,40.87135,28.27925,68.77341,26.10085,111.4176,42.842459999999996,33.63667,35.878479999999996,212.7695,53.35411,228.3774,35.87149,91.57198000000001,38.62658,34.467209999999994,67.01124,15.43431,57.63765,61.22829,96.03101,7.060836,13.13773,11.49653,14.77948,64.97834,18.0843,1539.039,1650.21,57.03708,46.02983,14.009079999999999,34.93674,37.02404,434.2485,18.543229999999998,11.0071,4.002575,31.020090000000003,12.00773,13.0084,105.4203,12.00773,12.00773,6.003863,9.005152,170.7805,50.03249,28.67482,18.01161,11.0071,5.002576,35.022659999999995,379.499,293070.5,50.0286,3820.6220000000003,11.00708,10.00644,6.003863,17.01096,8.005167,21.35756,9.005794999999999,2.000644,10.00644,7.004507,8.005167,5.0032190000000005,6.003863,3.001288,7.003863000000001,4.698336,4.001932,44.02848,17.01098,17.01096,12.00774,1.0,4.001288,3.001288,9.005151,8.005151,6.0038800000000005,7.003863000000001,175.6443,2.795228,                      Jar_BLK_72
66,44841.9962,66.0,67.0,1584.366,44332.94,3369.772,14865.32,833.8726,500.3246,11603660.0,583.7103,583.7103,418.5636,500.3219,5445.819,11707.71,679.4755,256.7231,10709.31,8602.896,146.8253,4531316.0,451.0196,487.345,526.6459,244.8656,1325.3220000000001,644.7786,4047774.0,30840.06,4336.420999999999,4944.018,5529.0830000000005,5670.004,21084630.0,270.5005,53343.14,149.8979,860.9218,82.96632,394.4599,275.9512,2528.825,7288.379,1109.71,22101.94,243.2108,124.0021,2909.867,1220.289,149.1722,1715.297,871.6808,68.38663000000001,415.9378,212.3025,116.465,130.2414,45.20426,65.57781,199.8861,34.28091,125.789,48.56301,553.2436,41.05963,61.2229,31.013479999999998,62.44004,82.97832,164.7445,63.957359999999994,18.84069,15.42196,93.91035,98.28513000000001,92.20286,158.2671,169.3051,458.8606,387.5923,66.13863,62.322,256.9058,182.5221,287.9843,63.9866,42.00582,33.89756,16.8948,22.89036,48.502,36.03581,28.290020000000002,15.035210000000001,177.6996,162.7326,94.97913,39.67322,3743.2670000000003,568.4595,55.410790000000006,35.8204,83.64358,31.189259999999997,111.4933,17.47556,51.81115,57.981230000000004,239.6563,51.69233,289.4156,66.45658,76.81953,25.25583,48.54603,64.09793,37.588429999999995,57.64841,72.69156,115.4252,7.060817,37.21458,16.095129999999997,18.190160000000002,57.242740000000005,26.12184,1335.905,2157.1479999999997,59.03832,38.68137,22.01416,25.01612,36.0234,631.6777,34.85067,15.009689999999999,3.001288,22.13145,11.00711,15.00966,68.94339000000001,17.01032,11.68721,8.005151,9.005794999999999,189.2593,63.03985,39.986979999999996,13.00837,9.005794999999999,3.000644,50.72465,393.0846,290984.1,67.04386,3811.511,12.00774,6.003863,8.005152,35.02264,15.439639999999999,11.00712,13.008389999999999,9.005794999999999,4.002575,12.00773,6.003863,4.001932,7.004507,8.005151,4.001932,9.005794999999999,3.000644,46.02981,22.23309,24.01549,13.00837,8.005151,6.003863,3.001288,9.005811,5.002592,1.0,7.629910000000001,175.6443,2.795228,                      Jar_BLK_72
67,44841.9962,67.0,68.0,2001.011,46693.92,3859.9770000000003,14865.89,750.487,675.0763,12597910.0,1000.6489999999999,750.4828,83.38699,83.38699,4692.835999999999,11815.16,362.5505,435.1059,10692.4,8401.935,208.2398,4525280.0,385.2867,302.658,577.9647,335.2044,1269.421,708.0861,4038946.0,33494.12,4114.962,5253.944,5506.516,5690.293000000001,20708440.0,238.576,58758.61,141.5708,933.9586,41.67454,237.6019,413.5951,2405.194,7037.499,1067.642,22448.87,227.1744,200.0446,2676.903,1244.692,159.5564,1580.766,865.743,49.74061,456.1206,268.3015,86.00915,125.6685,36.98526,57.380669999999995,169.7695,56.40755,118.3543,48.56307,528.7331,68.10356,45.678740000000005,72.36471999999999,94.66452,79.65935,130.2402,45.73798,73.24713,21.59075,99.28868,91.54346,127.6802,236.9345,152.7768,414.6098,392.8474,55.205290000000005,59.328669999999995,249.8315,163.0573,287.6608,45.58582,45.21012,19.37001,21.72193,21.21445,36.30425,27.0269,46.36047,19.395970000000002,202.3042,196.4304,103.9573,53.99483000000001,3867.638,654.5939,57.50082,33.93515,85.07488000000001,33.02386,127.3427,31.45604,34.54068,53.43231,244.7099,46.68987,287.0565,40.763040000000004,88.75958,28.11103,51.61459,50.98169,28.0624,61.48666,62.78516,103.2299,7.060817,25.74853,15.85265,20.463910000000002,51.11457,14.065579999999999,1218.972,2258.354,57.45924,47.483909999999995,13.008389999999999,19.30937,39.025259999999996,606.6269,33.16205,11.874839999999999,8.005167,33.02138,14.008389999999999,14.00901,64.60876,15.009689999999999,11.22603,5.00322,11.80447,186.5342,30.015990000000002,43.94246,15.00966,15.009689999999999,10.00645,34.02194,418.5169,293856.3,70.03846999999999,3626.743,7.004507,6.0038800000000005,6.003863,1102.799,166.2009,126.2795,31.020120000000002,24.01549,9.005794999999999,4.002575,15.009670000000002,8.004507,23.609029999999997,16.0103,10.00583,6.0038800000000005,4.877495,63.04099,26.64224,20.01289,13.00837,5.002592,3.000644,10.00644,9.005811,4.001932,10.00581,6.0032190000000005,175.6443,2.795228,                      Jar_BLK_72
68,44841.9962,68.0,69.0,671.4946,44601.18,3203.105,18510.51,833.8753,917.2595,12682150.0,397.3925,667.0959,166.774,0.0,6227.456999999999,13919.91,444.3397,393.0666,10539.59,9093.005,103.241,4492860.0,380.5884,366.6693,558.6534,189.2486,1196.609,918.7996,3958427.0,31150.82,4500.951,5413.465,5479.274,5565.5,20561830.0,391.1642,61768.78,149.8979,945.5373,104.798,279.258,261.3728,2724.276,6955.366999999999,1056.361,22750.83,337.8801,164.6928,2572.786,1032.537,101.1187,1879.912,775.2161,75.86664,436.6853,259.6457,99.21124,117.6358,57.532669999999996,81.97242,188.969,87.37749000000001,141.2483,33.97078,516.1646,57.350269999999995,59.73376,79.25674000000001,74.36693000000001,119.4891,110.7579,51.16564,51.9223,21.59075,148.8188,101.2287,136.8178,239.8641,163.01,411.2011,451.4643,77.89133000000001,82.64021,183.8472,179.1497,274.5889,58.249080000000006,25.95424,24.21251,28.962559999999996,30.643290000000004,34.64418,42.167770000000004,50.78423,19.396,231.8514,187.3046,81.56805,43.18888,3864.934,616.0034,57.32156,64.7405,87.3613,39.65303,102.5878,29.70233,53.53824,48.462109999999996,266.1048,46.68988,304.8291,61.609730000000006,60.26025,19.09274,64.81444,45.15974,40.69066,63.0452,84.78396,99.63284,9.258147,27.91092,17.24478,13.642629999999999,59.48777,24.112470000000002,1208.139,2259.591,68.04434,45.27945,16.0103,38.02468,25.01615,667.6276,34.022059999999996,27.017490000000002,11.00708,23.01483,21.51391,12.00774,61.039669999999994,21.01357,18.01166,5.0032190000000005,17.93216,172.2155,37.023990000000005,51.0331,20.01289,12.00708,13.00837,37.24295,410.8622,291000.6,72.03987,3618.094,14.00903,12.914589999999999,6.003863,3837.547,506.0395,362.6149,59.03821,28.018140000000002,19.80967,13.00773,19.01227,6.003863,64.04169,18.01162,16.0103,10.00644,5.003236,57.03695,24.0155,30.33209,10.00644,5.00322,3.001288,5.06576,6.0032190000000005,4.001932,5.268372,2.000644,175.7406,2.794466,                      Jar_BLK_72
69,44841.9962,69.0,70.0,1240.388,44123.22,3786.7009999999996,16201.72,1012.5360000000001,624.751,13165580.0,833.8726,1030.451,704.7191,733.3862,5333.684,10693.53,397.4705,344.6546,11188.38,9497.071,206.4824,4497578.0,581.6357,297.8208,445.11,277.566,1513.901,505.2653,4039628.0,32381.46,4650.227,5288.715999999999,5486.141,5334.9619999999995,20448210.0,344.4021,63838.21,183.4528,1058.22,135.0119,338.4037,404.4843,2559.324,6695.625,1140.461,21955.37,301.4444,109.795,2543.222,1099.056,195.1642,1632.596,739.9634,72.94596,444.821,220.9735,121.1243,138.66,42.83644,49.18334,155.9103,83.14281,152.716,40.24538,487.2731,82.44129000000001,35.13746,79.25681,60.459340000000005,56.328019999999995,128.1465,55.83749,47.10178,33.92837,115.063,139.0863,143.6383,218.9619,139.6043,400.2696,434.0064,46.92451,74.42472,279.2834,201.2203,256.5381,62.720380000000006,42.00573,19.37001,31.3761,18.85732,36.88169,34.241009999999996,44.160109999999996,19.00872,177.755,171.9245,103.9417,60.00193,3968.329,559.212,70.69660999999999,50.90272,57.621019999999994,14.67726,85.94462,33.20363,37.99477,46.07066,255.4906,43.35484,353.7114,60.71156,66.31049,28.22717,50.01728,52.29056,35.60418,64.88642,62.44387,92.43030999999999,5.6633629999999995,27.91088,19.54412,26.14846,55.454919999999994,30.65079,1238.876,2190.786,83.05083,43.0279,15.322370000000001,37.023959999999995,27.01747,644.8843,25.01616,20.01291,9.005794999999999,38.02465,13.008389999999999,12.00708,72.047,18.6683,19.395329999999998,4.001932,18.01166,177.237,49.0318,39.02533,13.008389999999999,13.00844,18.01162,37.02406,391.1271,293656.7,65.04229000000001,3682.565,16.009710000000002,5.002575,4.002592,4452.215999999999,599.6333,396.1944,80.37269,39.025240000000004,14.00901,8.004507,14.00903,7.004507,72.04686,25.01618,13.524329999999999,4.001932,7.004507,82.05339000000001,15.009020000000001,15.00966,14.00905,11.41359,7.004507,3.001288,5.0032190000000005,5.315919999999999,2.000644,7.004539,175.7886,2.793703,                      Jar_BLK_72
70,44841.9962,70.0,71.0,1143.156,43105.93,5256.265,18948.36,1000.645,503.4163,13134910.0,333.5479,1000.648,416.9349,445.4364,5590.147,11716.41,453.1914,316.4908,9978.181999999999,9647.32,170.1582,4504329.0,456.8882,419.6564,579.9922,340.6484,1125.165,870.5363,4021682.0,32463.41,4479.557,4789.962,6094.658,5580.164000000001,20895270.0,284.8268,63922.23,86.87082,910.3234,142.2308,336.3386,263.0563,2424.321,6951.853,1123.83,22426.3,295.2955,148.2234,2709.147,1246.905,141.3793,1744.576,734.5133,86.6232,399.3824,246.6778,116.4652,121.9525,53.42326,81.97223000000001,191.8897,105.7653,121.4213,25.30293,560.5882,60.93472,45.67868,62.02692,74.37881,62.40209,163.7329,33.06527,50.24205,52.43478,142.2331,118.8254,160.6122,216.1555,145.903,468.2428,472.7914,71.76693,107.5025,212.6908,218.6465,243.4669,60.78122,47.50738,46.003890000000006,26.549020000000002,30.643159999999998,43.882659999999994,27.026790000000002,41.95218,25.86131,224.7163,179.0327,93.75558000000001,40.76697,3927.34,623.6317,65.20362,41.4762,85.50238,32.19253,114.7543,26.21335,34.5408,66.508,255.7096,51.69231,269.84,79.75574,72.62573,16.335729999999998,41.19048,69.92501,41.5785,56.01505,75.06944,80.42636999999999,5.396744,41.86639,18.43036,15.06374,47.38863,21.09839,1167.093,2276.383,58.03785,46.31905,22.01427,29.01877,32.02075,668.3224,30.01942,18.01161,11.00708,38.02468,15.00966,13.00837,71.04621,16.01035,14.00901,8.005151,28.018140000000002,198.934,42.73082,54.63717,14.00901,14.00905,5.00322,39.025259999999996,418.3251,290931.0,62.0329,3607.765,16.01032,10.00644,11.0071,4630.469,578.0181,384.0799,69.38885,36.02333,13.008389999999999,10.00515,18.01162,12.00773,57.92825,21.01357,18.01161,8.005151,9.005794999999999,56.03643,23.19466,23.014860000000002,8.309391,6.0038800000000005,3.001288,2.000644,4.001288,8.005151,1.0,6.00322,175.7646,2.7940840000000002,                      Jar_BLK_72
71,44841.9962,71.0,72.0,1235.012,49318.46,5282.815,16470.18,1010.0930000000001,798.5309,13376780.0,621.8217,416.9349,750.487,416.9391,6130.283,11989.56,378.4843,296.7102,11019.38,9020.428,154.9771,4563690.0,476.5316,263.7649,441.3158,270.8139,1268.982,892.299,4004499.0,32904.68,4436.838,4725.559,5782.148,5654.803000000001,20448520.0,269.9375,65326.72,120.0352,981.1647,67.88145,336.4913,346.3147,2527.427,7072.363,1063.549,22346.29,346.4937,156.1582,2808.6,1116.965,113.2247,1848.4089999999999,812.7969,63.41814,452.6695,192.7337,107.8379,142.4678,49.58656,114.7614,193.7481,115.013,154.3125,37.35617,550.4378,78.85684,80.81633000000001,89.59470999999999,81.14066,109.5316,117.6677,28.780690000000003,54.80503,21.59075,147.3511,76.52903,121.3647,218.9623,137.7441,428.543,519.9031,75.98284,81.43421,187.027,166.7915,310.9979,91.50842,35.12373,16.94876,9.654173,37.71465,39.26363,29.278979999999997,35.29359,15.08576,186.0356,142.912,109.8372,49.36875,4130.884,679.9094,56.10511999999999,65.97846,80.64502,22.01584,99.04335999999999,19.22308,34.83085,31.82834,258.434,46.689820000000005,272.6632,64.94729,50.94763,20.7989,47.07486,49.529990000000005,39.28745,73.79011,68.70345999999999,91.23436,7.060059,29.705309999999997,20.693720000000003,22.73772,72.56763000000001,25.11646,1114.358,2267.701,68.21628,43.55952,13.96212,46.02993,34.022,653.4534,44.76338,10.8351,7.926992,35.022690000000004,16.01032,13.00837,71.04632,18.011670000000002,18.01096,5.659892,22.014210000000002,157.1873,38.02459,45.5295,12.00774,17.01032,12.007760000000001,32.0207,421.3137,289416.3,60.0353,3665.0609999999997,12.00778,8.005151,11.00708,4544.997,577.2094,392.152,77.04672,33.021359999999994,11.61685,13.00837,12.00773,13.00837,74.04823,25.016189999999998,20.00933,10.00646,8.004507,67.04364,24.01549,26.42329,9.005794999999999,7.003863000000001,7.004507,1.0,11.0071,8.005151,9.474544999999999,5.002576,175.7886,2.793703,                      Jar_BLK_72
72,44841.9962,72.0,73.0,1569.326,42413.75,3203.283,15749.59,378.4987,796.9008,13512150.0,726.3815,250.161,83.38699,488.2713,5508.875,10374.22,252.5724,352.4593,10423.29,9531.084,132.7393,4429194.0,364.0492,307.84,424.4828,259.4044,1363.858,650.9899,4001817.0,32232.66,4735.821,5151.445,5781.554,5745.0830000000005,20553030.0,390.9439,66345.27,99.93179,1015.438,120.6783,271.6197,255.2555,2663.033,7480.321,1239.362,22315.72,309.9339,163.8587,2507.745,1262.146,222.3747,1692.84,796.6396,65.27903,447.4483,245.2667,119.4729,165.7174,36.9852,53.281940000000006,184.8405,52.39437,125.9766,52.32076,535.1171,43.01278,42.16494,93.04052,80.63216,63.06355,162.8801,44.7701,25.12092,18.50636,132.7304,115.9981,183.7044,186.6183,166.0591,401.6984,506.0631,57.96555,66.15541999999999,223.1874,225.0692,282.6156,101.7575,17.29639,30.16954,26.54901,48.22984,39.26344,31.53128,24.28809,21.551029999999997,207.8948,183.3064,111.2991,58.00184,3844.1040000000003,613.9608,59.23222,43.538309999999996,85.08117,22.0159,116.6688,41.941390000000006,53.942919999999994,64.80292,244.9202,56.08262,293.5904,66.85165,76.53031999999999,16.34202,35.30619,59.72749,30.86877,46.46024,71.09196999999999,86.76572,18.17612,39.54056,18.393710000000002,21.600820000000002,61.504569999999994,22.98215,1178.501,2265.75,53.034569999999995,36.51582,15.009689999999999,21.01357,36.19528,648.1545,30.019379999999998,14.00903,11.0071,35.02267,17.01032,15.00976,70.04567,16.00616,14.00901,9.005811,26.18101,165.2033,51.0331,51.033229999999996,16.01037,13.00837,4.002575,39.02533,384.9747,295191.1,69.74448000000001,3587.313,16.00968,9.005811,12.00651,4580.223,559.3916,409.8772,59.7028,37.02397,18.81681,10.00644,13.5947,13.00837,63.03736,18.01162,16.01032,9.005794999999999,6.00322,49.03178,19.09828,19.01227,13.008389999999999,5.002576,6.003236,3.001288,3.001288,8.004507,4.001932,5.002576,175.7886,2.793703,                      Jar_BLK_72
73,44841.9962,73.0,74.0,1334.1989999999998,43209.52,3536.833,17951.38,500.3233,628.9882,13566980.0,558.3033,917.2568,333.5479,521.3329,6401.683000000001,10423.8,488.0649,296.7105,10656.17,10119.89,289.3291,4467867.0,386.2157,404.6402,716.3525,264.1106,1373.905,695.9722,3980061.0,32258.01,4377.938,4886.37,6227.24,5438.618,20925200.0,307.1704,66038.23,136.5603,1095.651,165.9329,345.5791,425.5443,2948.7529999999997,6856.843000000001,1170.806,22169.48,281.1891,186.6527,2618.58,1288.472,155.8777,1804.836,871.4888,102.9009,390.2383,180.1221,109.725,176.0824,28.76633,45.0848,201.7596,75.91727,209.2662,44.827459999999995,429.7339,47.75935,57.29055,86.61979000000001,81.14071,92.83185999999999,153.005,28.780640000000002,53.38211,33.92837,124.3347,98.05225,141.349,172.5109,168.4581,449.8675,516.996,74.7646,110.2593,207.3778,206.1329,313.3128,106.3676,49.41843,26.6338,19.30839,23.57164,34.0219,26.551640000000003,41.95214,28.016379999999998,174.5784,200.936,86.4695,48.00159,3949.052,680.2866,40.12514,39.59114,104.0899,33.023920000000004,100.8059,36.698679999999996,41.44892,42.63342,285.3941,60.0298,337.381,79.89573,65.10861,20.79895,51.48827,62.641130000000004,47.70627,61.59839,76.55152,87.66611,8.237638,37.21455,20.69376,15.9164,64.52916,29.1359,1213.1789999999999,2277.688,54.03519,37.02402,14.00905,32.02069,27.01747,661.2344,32.02069,15.00968,7.004507,23.39009,18.01165,15.00966,71.04634,17.284660000000002,19.01227,3.001288,19.01225,173.2338,47.030590000000004,47.00278,20.01291,10.00644,14.00905,39.02534,400.0665,293341.1,73.6894,3747.946,12.00773,4.002575,8.004507,4450.465999999999,581.6755,371.5701,81.05301999999999,36.02324,19.01225,12.37515,13.0084,10.00644,72.27356,23.014860000000002,14.008370000000001,8.005152,4.002575,42.45358,33.02135,26.01677,13.62597,2.001288,8.747817,8.005152,1.0,8.004507,9.005811,4.002592,175.7166,2.7948470000000003,                      Jar_BLK_72
74,44841.9963,74.0,75.0,1244.948,43910.21,2556.6839999999997,17493.05,134.6895,833.8726,13427770.0,917.2595,416.9349,416.935,213.3534,6867.17,10351.71,475.8501,336.2721,11959.02,9857.715,176.985,4566570.0,414.8094,341.1812,481.1756,350.3326,1119.65,782.0438,4014512.0,31815.87,4381.774,5005.465999999999,5754.468000000001,5434.723000000001,21110290.0,323.7677,67029.11,135.4709,1028.8010000000002,126.0258,344.0851,366.8652,2351.992,7088.960999999999,1084.511,23206.46,301.1676,172.2313,2711.175,1308.3039999999999,141.1049,1817.899,780.9914,148.3414,503.6803,194.7464,94.89732,163.6326,32.87573,81.97235,208.9365,88.43793000000001,155.021,43.98834,536.5517,63.413169999999994,71.39359,67.0141,96.73122,35.751870000000004,128.3317,38.68034,48.77605,27.75958,135.8546,80.39775,130.0679,230.2514,160.9703,422.5184,581.024,52.445119999999996,77.18118,253.6039,195.9253,303.5085,124.0959,32.122040000000005,19.37013,12.06772,41.7661,39.2634,45.09751,29.049059999999997,12.93062,188.2396,164.8852,112.5865,44.78268,4092.575,611.4237,66.69601999999999,56.55865,95.11616,29.35452,112.6542,24.94337,41.448859999999996,53.03848000000001,262.5491,52.27859,310.2808,67.01706999999999,63.103559999999995,16.34197,51.2586,62.572559999999996,29.465559999999996,61.22011,76.72225999999999,114.0511,8.237618,32.543820000000004,22.9931,11.36883,51.85499,14.0656,1171.6480000000001,2304.822,66.85606,38.03248,15.009689999999999,47.02279,32.14575,684.6445,43.02782,19.01225,6.003879,31.020059999999997,17.902160000000002,24.01556,61.28625,12.007760000000001,25.01613,6.003863,32.591409999999996,138.1456,37.11779,47.03054,13.00773,18.79336,15.009689999999999,30.015829999999998,364.1459,297199.9,75.03849,3717.333,15.009670000000002,9.005152,12.00774,4525.357,576.1982,379.5944,62.0403,40.02585,17.010939999999998,9.005794999999999,18.01162,8.005151,69.31071999999999,18.01163,13.008389999999999,8.004524,9.005827,47.53085,23.01484,27.126859999999997,13.00773,9.787547,7.003863000000001,2.001288,6.0038800000000005,7.004507,8.004524,3.000644,175.7166,2.7948470000000003,                      Jar_BLK_72
