,AbsTime,RelTime,Cycle,m15.007 (B_m15.007) (Corr),m15.970 (B_m15.970) (Corr),m16.978 (B_m16.978) (Corr),m17.009 (B_m17.009) (Corr),m18.017 (B_m18.017) (Corr),m18.887 (B_m18.887) (Corr),m18.939 (B_m18.939) (Corr),m19.007 (B_m19.007) (Corr),m19.440 (B_m19.440) (Corr),m19.735 (B_m19.735) (Corr),m20.007 (B_m20.007) (Corr),m21.006 (B_m21.006) (Corr),m26.996 (B_m26.996) (Corr),m27.985 (B_m27.985) (Corr),m28.988 (B_m28.988) (Corr),m29.972 (B_m29.972) (Corr),m30.984 (B_m30.984) (Corr),m31.964 (B_m31.964) (Corr),m32.970 (B_m32.970) (Corr),m33.003 (B_m33.003) (Corr),m33.965 (B_m33.965) (Corr),m36.636 (B_m36.636) (Corr),m36.913 (B_m36.913) (Corr),m37.001 (B_m37.001) (Corr),m37.661 (B_m37.661) (Corr),m37.748 (B_m37.748) (Corr),m38.000 (B_m38.000) (Corr),m38.998 (B_m38.998) (Corr),m41.003 (B_m41.003) (Corr),m41.998 (B_m41.998) (Corr),m43.010 (B_m43.010) (Corr),m43.974 (B_m43.974) (Corr),m44.978 (B_m44.978) (Corr),m45.958 (B_m45.958) (Corr),m46.988 (B_m46.988) (Corr),m49.971 (B_m49.971) (Corr),m50.992 (B_m50.992) (Corr),m53.004 (B_m53.004) (Corr),m55.007 (B_m55.007) (Corr),m57.031 (B_m57.031) (Corr),m59.022 (B_m59.022) (Corr),m60.022 (B_m60.022) (Corr),m60.999 (B_m60.999) (Corr),m61.997 (B_m61.997) (Corr),m62.984 (B_m62.984) (Corr),m69.034 (B_m69.034) (Corr),m71.042 (B_m71.042) (Corr),m73.022 (B_m73.022) (Corr),m74.020 (B_m74.020) (Corr),m75.009 (B_m75.009) (Corr),m76.008 (B_m76.008) (Corr),m77.003 (B_m77.003) (Corr),m78.012 (B_m78.012) (Corr),m79.012 (B_m79.012) (Corr),m81.009 (B_m81.009) (Corr),m83.048 (B_m83.048) (Corr),m85.052 (B_m85.052) (Corr),m87.020 (B_m87.020) (Corr),m88.040 (B_m88.040) (Corr),m89.024 (B_m89.024) (Corr),m90.913 (B_m90.913) (Corr),m91.012 (B_m91.012) (Corr),m92.999 (B_m92.999) (Corr),m94.004 (B_m94.004) (Corr),m95.015 (B_m95.015) (Corr),m96.018 (B_m96.018) (Corr),m97.048 (B_m97.048) (Corr),m103.036 (B_m103.036) (Corr),m105.016 (B_m105.016) (Corr),m109.055 (B_m109.055) (Corr),m111.074 (B_m111.074) (Corr),m117.052 (B_m117.052) (Corr),m143.096 (B_m143.096) (Corr),m145.080 (B_m145.080) (Corr),m149.010 (B_m149.010) (Corr),m203.904 (B_m203.904) (Corr),m204.919 (B_m204.919) (Corr),m205.907 (B_m205.907) (Corr),m206.995 (B_m206.995) (Corr),m217.894 (B_m217.894) (Corr),m223.026 (B_m223.026) (Corr),m224.030 (B_m224.030) (Corr),m225.006 (B_m225.006) (Corr),m226.981 (B_m226.981) (Corr),m228.961 (B_m228.961) (Corr),m266.950 (B_m266.950) (Corr),m281.024 (B_m281.024) (Corr),m282.023 (B_m282.023) (Corr),m282.999 (B_m282.999) (Corr),m286.948 (B_m286.948) (Corr),m299.016 (B_m299.016) (Corr),m329.784 (B_m329.784) (Corr),m330.790 (B_m330.790) (Corr),m331.836 (B_m331.836) (Corr),m340.985 (B_m340.985) (Corr),m341.976 (B_m341.976) (Corr),m342.979 (B_m342.979) (Corr),m355.034 (B_m355.034) (Corr),m356.089 (B_m356.089) (Corr),m357.041 (B_m357.041) (Corr),m358.038 (B_m358.038) (Corr),m358.992 (B_m358.992) (Corr),m359.986 (B_m359.986) (Corr),m371.055 (B_m371.055) (Corr),m372.078 (B_m372.078) (Corr),m373.044 (B_m373.044) (Corr),m374.041 (B_m374.041) (Corr),m375.033 (B_m375.033) (Corr),m376.015 (B_m376.015) (Corr),m429.048 (B_m429.048) (Corr),m430.055 (B_m430.055) (Corr),m431.052 (B_m431.052) (Corr),m432.050 (B_m432.050) (Corr),m433.036 (B_m433.036) (Corr),m445.069 (B_m445.069) (Corr),m446.076 (B_m446.076) (Corr),m447.060 (B_m447.060) (Corr),m448.057 (B_m448.057) (Corr),m449.050 (B_m449.050) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
26,44843.8766,26.0,27.0,5873.097,833.8726,1417.5870000000002,5153.752,83779.76,3888.8759999999997,2546.962,29001960.0,1148411.0,16258.65,67125.6,34603340.0,573.3291,292.5807,57060.12,37116.3,607.6037,866837.5,5143.526,3144.4759999999997,1520.183,107.7659,200.1454,2053587.0,238.4424,101.4075,1699.6789999999999,4273.052,1358.5439999999999,189.7835,79890.84,1280.0810000000001,1093.24,429.9641,1895.764,51.44234,14.948929999999999,32.8491,507.292,2234.032,1595.092,277.9116,256139.0,3561.525,529.732,104.2939,505.4863,716.76,406.1763,41792.16,1024.016,2069.998,283.2954,176.4261,54.417809999999996,49.4507,54.24334,81.12004,1174.79,10798.17,124.7053,227.7017,2003.6660000000002,183.2033,994.6966,45.56208,60.22606999999999,629.428,34.11421,48.90279,23.920679999999997,381.3672,8.446591999999999,87.2635,44.905229999999996,172083.2,1178.755,52.03385,25.0162,62.74383,19.01162,13.00837,24.0155,7.004507,4.001932,2.001288,11.00708,2.001288,5.001932,2.063184,10.00579,1835.017,99828.29,159.1994,2.0,1.0,4.002575,2.000644,7.004507,6.00322,6.00322,2.000644,4.001932,3.001288,2.000644,2.000644,3.001288,3.001288,3.000644,3.001288,4.002575,1.0,0.0,1.0,4.001932,2.000644,3.000644,2.0,2.000644,113.8767,2.780732,                      Jar_BLK_21
27,44843.8766,27.0,28.0,4042.933,750.4828,1544.293,6184.161999999999,80404.21,4145.979,3546.7729999999997,28674230.0,1252712.0,18717.22,69516.2,34837570.0,474.0014,282.2822,55930.33,36660.57,466.3357,849634.5,5114.6759999999995,2997.37,1520.388,107.7659,138.2484,2163731.0,174.9346,139.8811,1803.969,4189.052,963.2853,161.4388,41496.65,789.2667,1196.7839999999999,365.6918,1907.2,30.86732,21.69334,23.46574,396.7708,1308.955,1520.4979999999998,160.4061,135719.4,1574.2379999999998,232.4743,136.8861,297.196,551.9292,255.795,24620.6,785.891,1949.969,212.6777,117.0252,66.30044000000001,72.0897,47.16814,92.69807,3441.875,5473.994000000001,57.48599,128.489,1972.682,140.0456,1114.038,66.4246,55.50151999999999,892.6035,22.173070000000003,82.75294,30.16253,508.8019,14.385620000000001,74.34525,58.159,169365.5,1196.085,60.68029,23.78097,77.2031,36.023270000000004,7.004507,23.01425,9.005794999999999,8.005151,3.001288,12.00708,6.00322,7.0038800000000005,1.0,10.00644,1866.306,98031.77,150.1826,2.000644,3.001288,4.002575,5.00322,5.002575,3.000644,4.002575,1.000644,2.0,3.001288,2.000644,7.004507,3.001288,1.0,0.0,3.001288,4.002575,4.001932,0.0,1.0,3.000644,4.001305,2.000644,0.0,2.001288,113.8331,2.7841650000000002,                      Jar_BLK_21
28,44843.8766,28.0,29.0,2792.3559999999998,516.4456,1877.855,6968.82,85097.31,3726.607,4590.907,28417770.0,1272592.0,17497.68,68458.59,38837530.0,297.8112,284.9303,54279.15,34699.22,508.9611,847642.6,4841.747,2810.0409999999997,1460.277,89.80466,164.7765,2255373.0,298.2188,143.6612,1897.5079999999998,4558.8,867.4401,127.6764,32543.44,651.3126,964.5992,341.8009,1838.7910000000002,56.590109999999996,34.88064,31.852909999999998,504.6865,1162.108,1709.651,199.4675,99422.37,1322.326,285.9363,133.6272,300.6275,507.7666,206.6947,18244.74,620.3167,1647.269,219.9895,106.2099,64.7832,89.00261,58.96029,121.7536,5371.936,3860.073,99.00976999999999,173.7217,1714.506,171.5918,1145.302,68.81381,58.34205,764.2746,23.878770000000003,91.28568,17.540779999999998,578.2497,9.652472,91.73084,49.634809999999995,169758.6,1204.259,73.32122,19.0123,84.21157,31.02003,5.0032190000000005,17.01037,12.007760000000001,6.003863,2.000644,26.01618,5.00322,8.005151,1.0,13.007760000000001,1837.861,97930.12,166.2149,2.000644,6.00322,2.000644,3.001288,4.001932,7.004507,3.001288,4.0019480000000005,1.0,1.0,6.00322,5.002575,2.0,5.002575,0.0,2.0,0.0,7.003863000000001,0.0,3.001288,2.000644,3.001304,1.0,0.0,2.000644,113.5962,2.787599,                      Jar_BLK_21
29,44843.8766,29.0,30.0,2681.9429999999998,1000.541,1417.586,4709.488,87762.44,5933.255,4549.867,28062370.0,1310539.0,16482.14,70656.27,34617700.0,370.0831,302.5758,57031.6,36059.63,552.7927,833304.6,4521.616,2537.833,1523.721,62.863409999999995,194.5322,2237040.0,244.528,137.5707,1945.75,4037.302,735.9218,117.3117,27273.33,618.4088,1158.218,415.7004,1848.006,92.60206,19.9318,56.318090000000005,601.2979,1067.052,1583.5970000000002,156.5371,81413.94,1147.445,188.8966,176.4045,251.1019,439.9914,187.4327,15027.36,525.5111,1596.043,187.7488,131.2625,84.42033,81.13004000000001,40.092890000000004,99.14896,5520.439,3427.25,106.6575,178.8797,1484.719,179.4708,1872.9260000000002,80.99958000000001,64.05263000000001,545.269,37.52555,102.799,25.515520000000002,646.8387,11.97231,83.68935,80.65935999999999,171649.9,1195.195,55.85665,33.021370000000005,81.05281,28.01755,6.00322,26.001160000000002,13.008389999999999,5.00322,7.004507,21.01357,4.002575,8.004522999999999,3.001288,4.0019480000000005,1877.675,98705.43,170.2255,2.000644,3.001288,1.0,11.00712,2.0,3.001288,0.0,2.000644,1.000644,1.0,2.000644,4.002575,2.000644,0.0,1.0,0.0,4.001932,2.000644,1.000644,1.0,2.0,1.0,2.000644,1.0,3.000644,113.503,2.789888,                      Jar_BLK_21
30,44843.8767,30.0,31.0,2507.535,632.0807,2326.06,5868.56,85289.39,2821.2909999999997,2628.883,28976430.0,1294792.0,18067.16,69058.64,35467990.0,593.1094,348.105,59342.87,36511.29,462.3374,842618.4,5109.151,2903.508,1735.261,56.49625,180.0084,2286781.0,261.5074,172.6612,1849.217,4303.392,784.5308,140.7367,24992.47,509.6546,1068.874,340.9935,1924.5970000000002,46.30086,31.99022,59.828630000000004,609.424,935.8046,1453.271,160.4054,72230.28,959.4199,187.0733,186.6922,298.5807,409.3521,151.7193,13139.35,405.3931,1633.317,215.1422,110.8571,57.009,76.41668,54.23514,78.86844,5367.005999999999,2909.228,104.5909,140.3074,1388.253,179.2636,3814.3579999999997,189.2821,52.74924,503.1483,17.057029999999997,93.01203000000001,23.91968,816.8657,8.445816,94.11355,81.42251999999999,171356.6,1229.922,60.039080000000006,20.01291,86.86162,30.01943,11.002880000000001,24.01549,13.00837,4.001932,2.000644,22.01354,6.003863,9.005828,2.000644,6.003863,1852.73,98830.86,158.1988,1.219394,1.0,4.001932,14.0084,2.000644,10.00645,3.001932,2.000644,2.000644,6.003863,9.004508,7.004507,5.002576,1.0,2.000644,1.000644,2.0,8.004507,2.0,1.000644,2.000644,2.000644,3.000644,2.000644,2.001288,113.1666,2.791032,                      Jar_BLK_21
31,44843.8767,31.0,32.0,2195.1279999999997,833.8189,1250.817,4932.068,86920.95,3402.7729999999997,3419.845,29359300.0,1334318.0,16939.98,70373.34,36046230.0,344.1049,388.2249,56742.34,34692.98,626.7925,827980.5,4914.654,3139.847,1298.089,80.82449,132.6354,2305784.0,250.6298,118.309,1938.55,4520.63,778.9598,120.7758,23102.27,643.8021,1035.575,374.0902,1803.815,41.15632,36.97309,42.23834,683.5295,901.8024,1647.2160000000001,140.8744,65209.77,972.8266,154.1373,105.8661,307.0352,378.7862,121.9788,12010.55,467.3607,1565.796,240.286,89.18389,62.19175,101.374,50.042559999999995,110.7329,4995.972,2767.28,108.8737,178.0842,1382.3210000000001,224.8405,6409.9,268.8955,69.67509,402.2675,29.92987,128.7791,20.73131,983.0024,15.68655,85.77422,88.39768000000001,177489.5,1263.672,76.04966999999999,22.397270000000002,96.06644,45.02944,11.00708,28.01745,5.002592,1.000644,6.0038800000000005,21.013560000000002,13.008389999999999,8.75499,5.002576,5.003235,1945.546,103388.5,173.0164,6.00322,2.0,1.0,54.035,25.01615,19.01162,4.001932,4.002575,1.0,28.15812,18.01161,9.005794999999999,4.001932,4.002575,2.000644,4.002575,2.001288,1.0,3.110733,3.001288,2.000644,1.0,7.004507,7.0038800000000005,3.001288,113.5703,2.791795,                      Jar_BLK_21
32,44843.8767,32.0,33.0,3029.02,959.6059,1201.952,7447.331999999999,82853.09,3645.7090000000003,3255.566,28879000.0,1353528.0,17028.77,71547.84,36926320.0,390.4383,229.4048,57616.39,36118.74,585.2249,836725.8,4980.189,2770.329,1492.1660000000002,85.96369,188.0736,2358137.0,339.955,126.7602,1914.352,4050.425,764.5656,86.27201,21881.06,542.4221,966.2643,363.4805,1652.339,61.734480000000005,34.8808,79.78098,626.5925,910.5961,1601.23,156.7514,61086.41,869.6606,142.769,122.1625,263.2252,424.7732,124.9538,11123.06,442.9996,1531.236,256.5109,108.0687,94.80618,90.4408,40.60872,79.17719,4702.727,2767.3779999999997,97.71347,168.1046,1165.37,292.9765,8834.023000000001,423.7005,97.96339,449.0309,25.58569,120.6276,12.62064,921.0895,14.479870000000002,90.53987,114.0134,175667.1,1285.595,72.32069,21.01359,75.04524,33.83444,5.37846,28.0162,13.00774,5.002592,7.003863000000001,26.01613,12.00708,6.00322,1.0,5.002576,1937.611,103793.6,173.4313,1.0,3.000644,6.00322,136.1797,32.38033,34.02195,9.005151,5.003235,2.000644,59.03764,20.01161,19.0123,9.005167,3.001288,2.000644,2.000644,0.0,7.00322,1.7662689999999999,3.000644,3.001288,2.000644,4.001288,6.00322,0.0,113.5342,2.789888,                      Jar_BLK_21
33,44843.8767,33.0,34.0,2171.179,1183.546,1294.132,5220.8640000000005,86545.15,5432.878000000001,2715.2309999999998,27888740.0,1359160.0,17694.96,73832.5,36117010.0,389.8003,426.1044,56081.04,36710.4,465.331,834602.1,4536.342000000001,2762.191,1509.628,92.41841,159.1626,2326600.0,305.6315,209.6659,2112.8179999999998,3930.4179999999997,813.3457,103.5104,21120.86,465.4191,828.9992,380.8863,1814.348,37.20748,49.829570000000004,75.09076,555.5182,851.1948,1457.648,156.4997,57688.16,832.8018,129.9756,149.1656,237.4985,392.0581,150.1565,10432.66,408.9554,1675.305,237.0974,91.93018000000001,90.6964,106.3192,52.06095,94.95928,4456.436,2540.302,95.5062,182.4088,1220.132,258.5793,9425.748,400.371,90.36872,410.5046,20.46846,101.0664,30.29963,864.6693,21.6256,86.2582,118.67,177116.1,1293.614,72.04697,18.01161,74.04829000000001,35.02274,13.383629999999998,26.00115,12.00708,4.001932,1.0,25.01611,10.00645,9.005152,3.001932,8.004507,1968.239,102262.3,184.6586,1.0,0.30468759999999995,0.0,189.5363,54.03515,42.02726,7.004507,7.004507,1.0,89.19893,27.01744,28.018109999999997,8.004522999999999,7.770132,2.000644,1.0,0.0,2.000644,2.000644,4.002575,2.000644,3.9856529999999997,1.000644,1.0,3.001932,113.6792,2.789888,                      Jar_BLK_21
34,44843.8767,34.0,35.0,1740.7160000000001,1309.282,1250.817,4881.005999999999,85001.98,4031.244,3882.1290000000004,28749070.0,1377204.0,17044.0,70281.91,37511970.0,328.5179,408.4562,57084.92,35235.89,528.3868,830739.8,4596.309,2965.513,1686.524,80.82434,168.0056,2357357.0,305.9956,199.0379,1724.971,3844.317,643.6077,89.70911,20213.22,503.6503,938.435,430.5539,1644.729,41.1531,29.89769,70.37463000000001,653.3409,785.7377,1513.125,176.282,53220.14,850.4005,184.8921,137.8153,279.6827,343.5591,159.83,10097.63,380.4196,1544.751,245.0374,92.6907,57.758269999999996,100.0995,63.345569999999995,65.34801,4310.415,2330.742,117.8275,214.5922,1176.108,284.0418,9613.992,391.1335,102.6585,382.7869,23.8799,101.7284,14.8632,790.7747,15.68653,102.7596,114.0048,175880.9,1281.0710000000001,79.05173,35.788759999999996,73.85233000000001,38.024640000000005,11.0071,33.02133,9.005794999999999,2.000644,4.002575,14.00903,4.001932,6.00322,2.000644,7.003863000000001,1979.844,101926.8,159.1788,2.0,2.000644,3.000644,304.7646,81.05266,41.02655,14.00903,7.324382000000001,2.001288,125.104,31.019379999999998,47.030409999999996,15.00966,12.0071,2.000644,1.0,2.000644,8.005151,5.003236,1.0,1.0,3.001288,4.001288,1.0,1.0,113.5843,2.791032,                      Jar_BLK_21
35,44843.8767,35.0,36.0,2424.44,1167.4260000000002,1460.611,5037.026,86510.87,4678.3279999999995,3340.63,28507590.0,1375969.0,18477.89,72109.52,35937420.0,414.5154,370.5775,56692.44,37093.5,528.3406,830852.4,5010.519,2756.3740000000003,1594.1570000000002,71.84387,200.0765,2362034.0,314.1206,92.24738,1986.714,4051.998,757.2495,69.00685,19547.17,534.8961,1038.153,333.1022,1520.0729999999999,56.59027,34.880720000000004,70.39754,542.2195,714.3007,1705.5179999999998,199.5065,52659.39,770.6381,153.7529,147.5934,256.3171,419.6416,108.5153,9352.455,325.5981,1403.943,248.2366,73.0034,60.34949,125.0479,52.401070000000004,111.57,4314.202,2233.641,114.3236,198.028,1071.948,257.263,9179.195,384.5472,59.357769999999995,396.596,40.93704,117.4696,30.16256,744.8432,10.859960000000001,89.94402,170.7084,178488.3,1255.2,57.03711,18.01162,78.05107,29.831220000000002,11.00649,20.99731,9.662467,7.003863000000001,8.239677,25.01613,7.0038800000000005,6.00322,4.002575,8.005151,1886.5439999999999,101513.1,190.2823,2.0,2.000644,2.000644,351.2111,101.0663,60.03898,8.005167,3.000644,2.000644,135.1142,48.03107,50.032509999999995,18.011670000000002,10.00581,3.001288,5.925045,3.001288,2.000644,6.112665,3.000644,4.001932,3.001288,4.001932,1.0,1.0,113.5843,2.791032,                      Jar_BLK_21
