group_id,,AbsTime,RelTime,Cycle,m15.881 (B_m15.881) (Corr),m16.214 (B_m16.214) (Corr),m17.016 (B_m17.016) (Corr),m17.055 (B_m17.055) (Corr),m17.554 (B_m17.554) (Corr),m18.062 (B_m18.062) (Corr),m18.632 (B_m18.632) (Corr),m18.723 (B_m18.723) (Corr),m18.781 (B_m18.781) (Corr),m18.970 (B_m18.970) (Corr),m19.474 (B_m19.474) (Corr),m19.540 (B_m19.540) (Corr),m19.943 (B_m19.943) (Corr),m20.050 (B_m20.050) (Corr),m20.820 (B_m20.820) (Corr),m21.049 (B_m21.049) (Corr),m22.916 (B_m22.916) (Corr),m25.355 (B_m25.355) (Corr),m28.034 (B_m28.034) (Corr),m28.765 (B_m28.765) (Corr),m28.793 (B_m28.793) (Corr),m28.859 (B_m28.859) (Corr),m29.028 (B_m29.028) (Corr),m29.746 (B_m29.746) (Corr),m30.017 (B_m30.017) (Corr),m31.721 (B_m31.721) (Corr),m31.772 (B_m31.772) (Corr),m31.998 (B_m31.998) (Corr),m33.037 (B_m33.037) (Corr),m33.886 (B_m33.886) (Corr),m33.999 (B_m33.999) (Corr),m35.387 (B_m35.387) (Corr),m36.737 (B_m36.737) (Corr),m36.797 (B_m36.797) (Corr),m37.058 (B_m37.058) (Corr),m37.290 (B_m37.290) (Corr),m37.626 (B_m37.626) (Corr),m37.777 (B_m37.777) (Corr),m38.042 (B_m38.042) (Corr),m38.476 (B_m38.476) (Corr),m39.038 (B_m39.038) (Corr),m41.053 (B_m41.053) (Corr),m43.045 (B_m43.045) (Corr),m44.025 (B_m44.025) (Corr),m45.024 (B_m45.024) (Corr),m46.016 (B_m46.016) (Corr),m47.040 (B_m47.040) (Corr),m50.011 (B_m50.011) (Corr),m51.019 (B_m51.019) (Corr),m53.035 (B_m53.035) (Corr),m55.029 (B_m55.029) (Corr),m57.076 (B_m57.076) (Corr),m59.074 (B_m59.074) (Corr),m61.061 (B_m61.061) (Corr),m63.040 (B_m63.040) (Corr),m69.062 (B_m69.062) (Corr),m72.947 (B_m72.947) (Corr),m73.077 (B_m73.077) (Corr),m75.075 (B_m75.075) (Corr),m76.948 (B_m76.948) (Corr),m78.068 (B_m78.068) (Corr),m81.035 (B_m81.035) (Corr),m83.112 (B_m83.112) (Corr),m88.113 (B_m88.113) (Corr),m89.096 (B_m89.096) (Corr),m91.049 (B_m91.049) (Corr),m93.069 (B_m93.069) (Corr),m94.059 (B_m94.059) (Corr),m95.054 (B_m95.054) (Corr),m96.054 (B_m96.054) (Corr),m203.008 (B_m203.008) (Corr),m203.980 (B_m203.980) (Corr),m205.084 (B_m205.084) (Corr),m205.968 (B_m205.968) (Corr),m218.001 (B_m218.001) (Corr),m328.554 (B_m328.554) (Corr),m329.556 (B_m329.556) (Corr),m329.885 (B_m329.885) (Corr),m330.895 (B_m330.895) (Corr),m332.034 (B_m332.034) (Corr),m332.690 (B_m332.690) (Corr),m355.145 (B_m355.145) (Corr),m356.248 (B_m356.248) (Corr),m357.165 (B_m357.165) (Corr),m358.143 (B_m358.143) (Corr),m358.713 (B_m358.713) (Corr),m359.096 (B_m359.096) (Corr),m371.191 (B_m371.191) (Corr),m372.285 (B_m372.285) (Corr),m373.171 (B_m373.171) (Corr),m374.177 (B_m374.177) (Corr),m375.156 (B_m375.156) (Corr),m429.204 (B_m429.204) (Corr),m431.181 (B_m431.181) (Corr),m445.239 (B_m445.239) (Corr),m445.875 (B_m445.875) (Corr),m447.210 (B_m447.210) (Corr),E/N_Act [Td],p-Drift_Act [mbar]
                      Jar_BLK_2,4176,44841.7781,4185.6433,4177,38.59905,0,1834.526,2642.19,250.161,39821.07,250.161,679.8022,681.105,7067.245,24703.04,100056.3,7750.275,46306.49,416.9363,20900830,123.4843,50.10022,193.0387,32.45207,16.17894,60.51397,19066.68,14.73739,17099.08,12.44231,12.3925,299814.2,3561.092,0,847.8637,19.32418,44.64878,44.49819,1211036,8.661096,187.1239,376.5689,2138.234,40.68495,3458.503,1002.299,5089.207,247.5581,1094.667,211.7184,754.3151,44.69652,19.05988,28.88519,607.8099,747.2104,2133.255,9954.374,123.3491,201.9703,336.3315,794.3826,2981.254,951.7556,235.1873,84.048,90.12198,232.1072,604.6484,276.5021,832.1898,98.05115,605.9874,41.07531,26.67347,52968.46,935.5837,226.8859,125.936,7.004507,1078.768,3337.134,62244.53,203.0915,229.3901,3756.966,695.9759,511.736,147.7026,42.62134,58.63167,1894.638,394.0936,653.6234,163.7323,70.24879,3.392164,5.003219,5.566082,6.003863,5.003235,113.6213,2.791795
                      Jar_BLK_2,4177,44841.7782,4186.6433,4178,83.33335,250.161,1139.9,2571.349,83.33335,41867.31,416.9349,583.7117,333.5493,4919.771,21034.86,96479.43,7135.329,43895,147.5559,21970830,123.485,50.11675,193.039,16.22603,16.17894,57.72028,19398.5,44.21217,16909.84,92.8072,5.784779,272353.4,3545.57,31.89951,809.828,9.662089,58.37459,55.13604,1173991,8.655525,168.8331,283.7854,1695.065,97.644,3711.921,1109.222,5243.126,190.4295,1042.8,164.7954,593.9252,64.83701,24.89462,38.65697,530.5753,789.2845,2306.307,9357.333,156.44,195.639,461.1267,971.749,2928.527,931.6083,182.3554,51.79634,74.60518,171.0845,627.3004,336.2274,716.316,91.31668,597.8853,29.73181,11.00712,52513.9,948.7673,259.1396,108.2817,7.003863,1142.479,3397.954,62430.71,205.5345,219.3736,10586.11,1298.286,1274.955,314.4293,90.87776,93.06071,5112.731,738.4515,1625.657,386.3081,178.1408,4.002575,6.003863,4.001288,5.166744,3.001932,113.3336,2.79294
                      Jar_BLK_2,4178,44841.7782,4187.6433,4179,0,0,1000.648,2911.092,83.38699,38160.1,500.3219,333.5479,250.161,3253.711,20803.25,99245.03,9241.031,38508.9,166.774,19843610,164.6457,25.05817,157.9405,46.68154,16.17894,32.14006,19259.07,69.51328,15764.06,14.89675,49.56998,240796.8,3148.763,10.63317,644.7847,29.45805,80.36768,35.59855,1139621,8.661096,213.4056,233.159,1852.564,56.95906,3273.49,954.6091,5395.257,158.6904,904.6281,207.7072,667.858,25.68991,9.957816,12.35448,567.883,693.351,2094.654,9386.041,136.7696,162.2291,496.7867,871.1586,2672.944,990.8528,195.0729,64.786,83.94044,170.1414,624.2079,330.1051,703.6229,86.50374,447.0893,29.08998,24.01551,52887.74,949.436,266.0902,132.3732,7.004507,1194.482,3609.257,63463.99,195.3014,222.929,17469.18,1766.133,1965.854,465.459,154.9802,181.6158,9191.651,1148.109,2678.919,574.5442,302.2095,3.001288,3.001288,4.291824,10.00579,2,113.0886,2.790651
                      Jar_BLK_2,4179,44841.7782,4188.6433,4180,166.7204,0,1131.923,3301.008,83.38699,39333.3,83.38699,583.7103,650.9749,5572.464,21645.64,92542.07,7877.541,43042.66,115.96,21759740,205.8079,25.05817,122.8427,48.6781,16.17894,96.42018,18725.51,29.47478,16632,38.4934,12.3925,271929.4,3836.43,42.53267,670.3236,28.98627,62.50822,44.49819,1188547,17.31662,143.9977,387.0195,1809.247,64.61927,3496.385,1147.44,5003.888,141.2843,975.3793,266.2305,715.9012,66.59333,19.91563,32.82325,607.1156,711.5729,2339.611,9117.513,122.549,224.3528,542.537,952.7168,2706.25,942.5795,191.1682,87.06264,59.20369,126.6395,627.329,290.4847,583.025,90.04022,364.887,19.10477,28.01811,52950.21,985.0486,263.9962,125.7176,6.003863,1183.254,3601.232,62610.67,210.9857,221.7755,22877.54,1969.99,2451.533,609.7157,243.1955,236.8279,12138.64,1330.604,3477.915,713.4032,374.1995,6.003863,6.00322,5.003219,3.001288,8.005151,113.6024,2.789888
                      Jar_BLK_2,4180,44841.7782,4189.6433,4181,250.161,83.38699,1334.199,3691.208,83.38699,37804.27,83.38699,333.5479,809.7672,3289.709,20306.64,88626.7,7897.682,40357.75,220.8457,20297400,205.8079,50.11634,120.8546,43.95607,32.35788,32.14006,18150.68,0,15691.31,0,37.16972,259467.7,3320.527,21.26634,569.0613,38.64852,71.43811,26.69892,1172628,24.16885,197.2083,385.8462,1928.301,32.54796,3323.089,961.6949,4831.119,205.1707,871.4447,269.1958,625.9064,41.67603,41.29973,32.82317,599.9343,811.4248,2340.78,9252.608,143.8979,203.63,501.8611,974.7919,2804.223,1003.651,215.9417,75.10491,95.70626,135.7281,615.1385,341.8726,579.029,91.76228,393.6694,32.47808,24.0155,52501.56,908.3683,276.5633,115.7398,7.098318,1172.013,3496.059,63319.4,213.7275,230.0189,25945.58,2090.631,2788.073,710.5687,302.6964,287.5933,14044.88,1481.44,3961.818,772.32,394.6062,12.00773,13.00837,6.00388,6.003863,6.003863,113.3938,2.790269
                      Jar_BLK_2,4181,44841.7782,4190.6433,4182,0,210.7489,1153.255,3038.788,325.2432,41034.44,0,416.9391,416.9363,8912.712,24007.13,96655.3,9248.244,43147.78,416.9363,22203950,123.4843,0,175.4895,16.22603,0,32.14006,19214.81,28.35221,17196.41,62.21155,37.17749,301419,3612.707,40.43512,814.1374,40.72437,51.6773,44.49834,1214319,8.655525,161.6076,373.0247,2080.285,40.68495,3659.947,1110.027,5177.883,117.8152,1033.382,241.998,608.129,30.31611,29.70821,23.44512,719.0236,743.5242,2181.416,8832.891,123.8701,187.2221,608.7971,1052.364,2608.829,922.3428,223.223,91.69638,82.4743,186.9897,663.1104,332.8094,602.1072,82.79815,364.8699,31.14971,16.97186,52942.91,902.7018,234.0202,118.6974,2.000644,1055.669,3295.225,61741.95,176.9097,220.413,27968.95,2249.473,2997.82,823.5225,301.8591,289.3698,15747.06,1559.038,4520.388,969.1525,458.4452,29.95684,11.27223,17.01096,20.16923,9.005811,113.3628,2.791032
                      Jar_BLK_3,4849,44841.7859,4858.6437,4850,83.38699,83.38699,1160.256,3068.089,0,46228.61,177.3602,583.7089,250.161,10083.64,16176.11,56452.3,6866.085,37258.45,0,18643860,0,25.05817,245.6852,0,16.16853,11.2606,19038.42,14.73739,17246.05,24.88462,49.56998,329422.2,2583.736,31.89951,831.1449,9.655875,80.36768,8.899638,1141211,69.28905,149.3302,160.6962,1416.109,16.27398,2735.817,611.0756,2320.659,88.8664,604.4058,164.7949,329.0999,30.03512,34.85244,14.06707,366.5533,376.952,1313.382,3366.11,84.10841,87.9541,114.4938,327.4344,920.7891,827.0474,168.8178,44.02703,36.62741,100.0266,210.9035,180.652,227.3258,66.57664,101.5347,9.5524,23.01483,52832.8,889.8889,218.9586,126.492,5.002576,1116.817,3213.225,61982.82,201.9859,207.6759,10.00644,6.003219,4.002575,4.002575,7.003863,1,4.002575,6.003863,4.001932,4.002575,1.000644,1,0.383059,2.001288,3.001288,1,113.4829,2.783402
                      Jar_BLK_3,4850,44841.7859,4859.6437,4851,250.161,83.33335,1614.981,3117.781,83.38699,47726.12,83.38699,223.2882,500.3246,6287.415,17254.91,57809.79,7676.386,38030.06,333.5493,19714610,41.16143,0,161.3681,0,16.16853,16.07003,18867.28,0,17353.74,13.21195,37.17749,304156.5,2490.096,10.63317,645.4647,0,62.50822,17.79928,1130788,8.661096,178.6178,264.8011,1337.406,8.13699,2950.169,619.5417,2479.208,169.1299,643.4124,183.0037,404.0793,30.82798,24.65803,20.22142,384.8374,376.9283,1238.686,3798.017,52.81063,84.69661,113.9251,329.7175,1094.137,890.5932,211.4714,49.20657,39.15417,323.378,262.387,195.8851,284.9147,40.39951,188.7401,19.10477,17.01096,53218.01,955.767,223.5612,118.6851,5.003219,1128.096,3320.033,61526.72,192.257,226.4511,12.00773,11.19472,7.223398,4.002575,4.002575,3.001288,7.160214,4.002575,4.001932,3.001288,2.579785,1,4.002575,1,2.000644,4.002575,113.5829,2.785691
                      Jar_BLK_3,4851,44841.786,4860.6437,4852,0,166.774,1017.589,2882.743,0,48266.41,166.774,175.7316,500.3219,7890.236,18817.75,63908.66,6827.056,36818.15,416.9349,22530650,123.4843,75.15839,245.6854,16.22603,80.89495,48.21009,19512.11,29.47478,17741.34,40.5105,24.78499,307791.9,2609.171,21.26634,702.8483,19.32418,35.71891,8.899638,1150091,8.661096,175.6445,266.4988,1598.473,40.68495,2787.962,697.4841,2591.726,165.0378,695.6232,194.9132,437.6519,20.55202,29.87345,9.378048,391.839,372.7407,1275.801,4098.542,51.19635,105.3812,156.8768,400.6291,1241.267,995.1375,256.4521,43.29855,37.03241,519.4721,262.1002,191.0237,285.8177,83.9976,382.4581,32.47824,20.0129,52916.75,873.6356,235.4734,112.1159,2.000644,1064.535,3143.824,61704.28,199.9932,179.8128,100.0967,39.0252,21.01357,6.003863,5.002576,4.001932,53.03431,22.13931,17.01096,13.00773,8.004523,2,1.000644,1.000644,3.000644,2.000644,113.2173,2.788743
                      Jar_BLK_3,4852,44841.786,4861.6437,4853,0,0,715.1411,3083.26,0,45720.87,250.1623,432.2443,600.6469,4989.704,17042.38,62010.75,6766.174,34884.64,416.9349,20103700,82.32287,75.17451,157.9405,64.88326,0,16.07003,18566.13,0,17078.87,24.88462,24.78499,285646.8,2391.125,31.89951,605.3956,0,35.71891,26.69892,1135912,0,114.8255,255.5065,1500.342,44.81702,2726.565,618.5137,2635.937,99.90029,575.6297,229.5364,405.8737,15.41064,19.46831,37.51219,479.2186,421.6191,1186.102,4470.522,76.7946,102.5241,137.5969,390.1717,1320.572,886.5189,176.2759,61.12392,39.23125,691.883,344.6764,190.5719,355.5849,74.78743,849.8098,51.58291,19.62205,52914.37,933.4202,232.4875,119.0651,9.834453,1038.884,3142.783,61608.75,173.396,180.9207,524.2716,113.8749,101.9414,30.01938,15.00969,11.00708,205.287,59.0383,83.05403,34.02199,20.01289,2,4.486619,3.000001,3.000644,2,113.2518,2.790269
