,AbsTime,RelTime,Cycle,m17.009 (B_m17.009) (Corr),m18.018 (B_m18.018) (Corr),m18.887 (B_m18.887) (Corr),m18.940 (B_m18.940) (Corr),m19.015 (B_m19.015) (Corr),m19.454 (B_m19.454) (Corr),m19.739 (B_m19.739) (Corr),m20.008 (B_m20.008) (Corr),m21.009 (B_m21.009) (Corr),m27.001 (B_m27.001) (Corr),m28.991 (B_m28.991) (Corr),m29.975 (B_m29.975) (Corr),m30.986 (B_m30.986) (Corr),m31.974 (B_m31.974) (Corr),m32.973 (B_m32.973) (Corr),m33.005 (B_m33.005) (Corr),m33.969 (B_m33.969) (Corr),m37.015 (B_m37.015) (Corr),m37.642 (B_m37.642) (Corr),m37.692 (B_m37.692) (Corr),m38.002 (B_m38.002) (Corr),m39.002 (B_m39.002) (Corr),m41.006 (B_m41.006) (Corr),m42.002 (B_m42.002) (Corr),m43.017 (B_m43.017) (Corr),m43.975 (B_m43.975) (Corr),m44.994 (B_m44.994) (Corr),m45.962 (B_m45.962) (Corr),m46.993 (B_m46.993) (Corr),m50.999 (B_m50.999) (Corr),m53.013 (B_m53.013) (Corr),m55.014 (B_m55.014) (Corr),m57.037 (B_m57.037) (Corr),m59.027 (B_m59.027) (Corr),m60.025 (B_m60.025) (Corr),m61.016 (B_m61.016) (Corr),m62.992 (B_m62.992) (Corr),m69.041 (B_m69.041) (Corr),m71.050 (B_m71.050) (Corr),m73.028 (B_m73.028) (Corr),m75.023 (B_m75.023) (Corr),m77.009 (B_m77.009) (Corr),m78.018 (B_m78.018) (Corr),m81.019 (B_m81.019) (Corr),m83.058 (B_m83.058) (Corr),m88.050 (B_m88.050) (Corr),m89.043 (B_m89.043) (Corr),m90.924 (B_m90.924) (Corr),m91.019 (B_m91.019) (Corr),m93.009 (B_m93.009) (Corr),m94.015 (B_m94.015) (Corr),m95.026 (B_m95.026) (Corr),m96.028 (B_m96.028) (Corr),m97.059 (B_m97.059) (Corr),m103.044 (B_m103.044) (Corr),m117.061 (B_m117.061) (Corr),m149.025 (B_m149.025) (Corr),m203.960 (B_m203.960) (Corr),m204.933 (B_m204.933) (Corr),m205.922 (B_m205.922) (Corr),m217.913 (B_m217.913) (Corr),m223.045 (B_m223.045) (Corr),m225.025 (B_m225.025) (Corr),m281.052 (B_m281.052) (Corr),m283.022 (B_m283.022) (Corr),m286.981 (B_m286.981) (Corr),m329.810 (B_m329.810) (Corr),m330.843 (B_m330.843) (Corr),m331.863 (B_m331.863) (Corr),m341.023 (B_m341.023) (Corr),m355.128 (B_m355.128) (Corr),m356.139 (B_m356.139) (Corr),m357.085 (B_m357.085) (Corr),m358.077 (B_m358.077) (Corr),m359.037 (B_m359.037) (Corr),m371.124 (B_m371.124) (Corr),m372.129 (B_m372.129) (Corr),m373.085 (B_m373.085) (Corr),m374.076 (B_m374.076) (Corr),m375.062 (B_m375.062) (Corr),m429.098 (B_m429.098) (Corr),m430.094 (B_m430.094) (Corr),m431.090 (B_m431.090) (Corr),m432.082 (B_m432.082) (Corr),m445.108 (B_m445.108) (Corr),m446.110 (B_m446.110) (Corr),m447.100 (B_m447.100) (Corr),m448.091 (B_m448.091) (Corr),m449.089 (B_m449.089) (Corr),E/N_Act [Td],p-Drift_Act [mbar],group_id
23,44843.8154,23.0,24.0,6535.831,77155.77,3289.571,3961.187,28954330.0,934969.6,11969.19,62657.61,32778980.0,79.34637,59507.57,39043.18,454.8425,1034400.0,5126.867,3363.2659999999996,1744.0610000000001,1305738.0,76.48729,113.164,1063.141,2621.415,165.767,110.3912,6748.264,307.2888,418.3507,324.3512,550.8788,34.87339,42.227140000000006,205.2708,261.6982,404.6162,36.32763,18411.27,80.5304,32.58808,37.69749,111.9669,2073.658,1009.549,201.2874,10.36139,14.831779999999998,386.5961,331.1181,108.6493,114.6938,90.85835,31.5109,135.7599,5.7335769999999995,18.76991,47.11908,40.46216,20.93534,178450.7,1264.899,78.90746,84.03919,14.00905,10.00579,20.012929999999997,8.004522999999999,3.001288,2104.0389999999998,110236.4,181.2505,3.001288,6.003863,2.000644,3.000644,3.001932,5.0032190000000005,3.0000009999999997,2.0,2.001288,2.000644,2.000644,3.001288,2.001288,5.001932,2.000644,4.001932,0.0,3.001288,1.0,0.0,113.2614,2.800951,                      Jar_BLK_17
24,44843.8154,24.0,25.0,7323.922,79401.4,3375.219,3571.728,29220100.0,1127034.0,14935.4,69428.15,34901580.0,99.1989,58147.54,36907.07,462.2239,981709.1,4982.519,2664.163,1705.589,1791450.0,42.27715,67.80568000000001,1326.11,2798.1929999999998,375.4076,55.19543,5136.518,296.5303,632.5836,261.9441,972.366,9.963778,32.84026,278.7893,341.5955,768.251,112.3172,18786.32,80.53022,74.95307,91.90038,263.6433,3555.808,1147.365,225.392,48.39482,51.909859999999995,585.1157,1203.937,90.42879,151.1729,357.3679,42.65039,295.4474,9.554764,21.64695,136.1408,78.79363000000001,54.66047,177599.8,1291.39,80.05235,84.05131999999999,27.017529999999997,18.011589999999998,20.01226,8.005167,6.003863,2063.144,106925.1,186.2663,5.002576,7.003863000000001,3.001288,3.001288,2.0,4.0019480000000005,5.0032190000000005,2.000644,0.0,5.00322,3.001288,2.211582,1.0,6.00322,4.002575,4.002575,3.000644,4.001932,1.0,3.001932,113.1978,2.801332,                      Jar_BLK_17
25,44843.8154,25.0,26.0,7207.771,84361.7,4254.939,4914.710999999999,28373900.0,1194500.0,18140.59,77594.38,35642920.0,158.7182,58889.21,37397.36,481.4881,965982.7,5204.719,2726.39,1670.112,1931816.0,84.98602,121.4908,1405.7920000000001,3218.941,336.7165,61.488569999999996,3911.498,281.8851,663.4364,330.7923,1123.609,29.88813,23.76189,336.4401,342.4424,858.2001,69.32207,14236.23,57.92859,68.4353,135.0836,175.7388,2939.014,1023.3489999999999,199.2173,38.05199,39.55146,681.9308,846.6854,124.8104,139.7934,460.732,69.11493,264.2032,24.8455,38.643609999999995,174.4203,113.5315,58.52656999999999,178153.3,1221.941,64.88592,84.05499,29.0181,20.6384,37.02333,8.004507,2.000644,2042.749,106061.6,158.1914,1.0,7.175849,4.001932,3.001288,1.000644,3.001932,6.003863,4.001932,4.001932,1.0,2.001288,2.000644,2.000644,5.00322,4.0019480000000005,2.0,3.001288,0.0,2.000644,1.0,113.4695,2.800569,                      Jar_BLK_17
26,44843.8154,26.0,27.0,7509.696999999999,83754.96,3569.3779999999997,3443.743,28641940.0,1238258.0,16760.46,72349.12,36202630.0,99.1989,56972.06,36616.78,389.9377,963482.6,5153.273,2959.4959999999996,1739.3929999999998,1976894.0,59.49025,129.884,1423.513,3450.368,317.1831,49.58964,3733.732,305.4496,470.1701,313.0625,1131.889,14.94246,23.45955,376.1205,333.0659,947.1838,100.5309,12299.06,101.8924,91.24750999999999,128.8004,220.7514,2844.542,1106.349,201.2957,44.04319,42.04287,1081.687,713.2326,79.44975,142.5701,424.4393,76.96964,303.9337,23.62867,33.905120000000004,159.8877,108.7953,46.5229,175527.1,1244.9080000000001,71.8906,78.0513,30.01945,21.01355,29.612859999999998,11.0071,1.0,2012.122,106578.7,181.7215,3.001288,10.00579,4.001932,6.0032190000000005,2.000644,3.001932,3.001288,4.001932,3.001288,1.0,1.0,3.001288,3.001932,3.001288,4.001288,4.001932,2.000644,1.0,4.002575,3.5012879999999997,113.0668,2.7998060000000002,                      Jar_BLK_17
27,44843.8154,27.0,28.0,6754.565,83610.37,3584.7459999999996,4147.5,28692270.0,1268981.0,16012.96,66367.51,36920120.0,29.29468,56340.39,37486.54,433.687,953787.9,5112.429,2666.6220000000003,1929.26,2016594.0,47.83794,135.7114,1343.35,3127.177,409.5832,41.396679999999996,3468.6679999999997,311.6614,483.4135,260.4018,1023.0830000000001,14.945670000000002,14.07267,296.437,269.9608,801.8552,113.2431,11334.64,83.61885,116.8218,85.45779,190.8893,2606.125,1034.404,194.4361,38.86148,51.95015,1061.088,591.4726,106.7684,140.1662,375.4405,61.19095,421.6208,19.11196,38.59943,141.2606,107.3025,58.15371999999999,175738.5,1215.971,61.223859999999995,83.26186,33.0213,18.01162,41.02655,10.7491,3.000644,2094.3579999999997,107088.7,174.7641,3.001288,5.002576,1.0,4.001932,1.0,5.002576,4.001932,2.000644,2.000644,3.001288,1.0,0.0,3.001288,7.003863000000001,3.001288,4.001932,1.0,3.001932,2.001288,1.0,113.1805,2.800569,                      Jar_BLK_17
28,44843.8154,28.0,29.0,6605.653,87469.45,5006.394,4005.692,28584400.0,1246893.0,15952.67,71268.8,32822200.0,148.5274,58992.29,37001.03,428.9661,960826.9,4786.055,2804.377,1574.976,2000255.0,76.57056999999999,84.93933,1629.203,3260.08,334.9562,82.79347,3250.857,305.4397,519.0441,240.2783,1081.509,29.89133,14.07569,391.6716,277.5812,871.3521,70.30597,11297.72,43.923140000000004,111.6723,77.26658,209.0693,2455.455,1084.943,194.9529,31.08922,47.025659999999995,1160.404,563.1174,128.5403,171.2852,374.2323,55.42116,505.0568,58.97851,39.55618,120.9774,137.8781,70.8843,176684.6,1274.157,64.04169,88.05055,30.015890000000002,23.32718,21.01357,9.005151,1.000644,2040.1789999999999,106920.3,163.6412,4.001932,14.008389999999999,3.001288,3.001288,4.002575,3.001932,8.309839,5.002576,4.001932,2.5159569999999998,1.5625,3.000644,4.002575,6.00322,5.001932,5.001932,4.001932,7.003863000000001,2.000644,4.002575,113.0976,2.799043,                      Jar_BLK_17
29,44843.8154,29.0,30.0,5742.419,86428.38,3686.612,3274.177,28745670.0,1277577.0,17435.74,74110.52,36187850.0,109.08,56335.68,37591.54,316.7254,959739.5,4753.258,2489.889,1649.6,2045983.0,107.1787,144.0873,1678.849,3475.19,363.9624,49.953590000000005,3088.1809999999996,275.7469,569.4413,311.1171,1058.151,19.92756,18.76758,379.8381,290.9102,904.7876,88.7141,10099.18,65.88831,78.21162,93.50777,169.7149,2426.7110000000002,1147.527,237.1647,61.449940000000005,51.91149,1171.586,596.8529,114.8459,177.477,368.4224,53.17462,837.1565,90.46865,28.254340000000003,158.7555,166.6171,63.96935,175729.1,1240.1580000000001,70.85847,71.04633000000001,41.0224,23.014960000000002,22.01357,10.00579,0.0,2074.874,105642.6,191.2903,1.0,36.21877,17.010939999999998,13.289829999999998,4.002575,6.003863,11.00644,7.003863000000001,4.001932,4.002575,4.001288,2.000644,3.001288,3.001288,3.001304,2.0,1.0,3.376529,2.000644,2.001288,113.2422,2.799043,                      Jar_BLK_17
30,44843.8155,30.0,31.0,7947.557,88125.63,2455.0460000000003,4489.081,29010260.0,1286070.0,14815.93,70124.14,36852410.0,93.54146999999999,57832.86,37934.89,422.6476,945586.9,5164.178,2447.965,1723.4270000000001,2055757.0,161.7061,194.9418,1466.296,3162.631,403.6694,70.61144,3213.8390000000004,242.193,565.1768,287.5619,1066.7089999999998,24.90944,65.68693,367.3746,281.7211,904.8844,54.68241999999999,10208.41,51.24651,68.43524000000001,103.6684,245.441,2379.007,1059.19,202.0715,38.8599,76.72791,1246.184,567.2136,109.3389,185.337,388.2308,72.08442,1218.133,50.33335,33.90515,125.6678,234.1256,53.50145,175733.9,1292.547,66.04292,88.0577,31.02008,12.00708,33.6311,7.0032190000000005,4.001932,2041.996,105970.1,165.2034,2.0,72.04701999999999,23.28064,20.0129,7.003863000000001,2.000644,34.02133,15.009020000000001,13.00837,11.00644,3.001288,1.0,3.001288,3.001288,5.002576,3.001932,3.001288,7.003863000000001,1.0,2.000644,113.0668,2.7998060000000002,                      Jar_BLK_17
31,44843.8155,31.0,32.0,5174.441,82823.11,4409.732,4403.345,28000650.0,1296878.0,16184.96,64857.36,34666210.0,158.7058,58039.6,37160.79,548.5326,952087.7,5119.1720000000005,2691.998,1791.891,2069704.0,104.1412,110.1845,1358.892,3280.107,414.9595,82.79347,2943.348,276.0567,491.7664,358.6291,1143.103,19.92435,46.916090000000004,332.7229,260.7139,859.7043,60.174980000000005,9879.089,36.60454,97.76469,122.5173,195.6232,2215.1220000000003,1190.108,179.2359,49.22477,66.74348,1315.931,574.9509,93.87521,159.5596,356.5876,95.82535,1860.6870000000001,134.3156,34.69247,101.2323,243.5004,75.44131,174661.6,1232.119,65.0423,94.06535,35.02275,21.01354,18.01161,14.00774,8.004507,2051.811,105946.4,168.4592,3.001288,126.1742,29.01875,31.018109999999997,8.005151,3.001288,49.0318,16.24473,27.595979999999997,5.0032190000000005,6.00322,9.349766,5.0032190000000005,4.001932,3.001288,1.000644,4.439714,4.001932,7.0032190000000005,6.00322,113.3558,2.7998060000000002,                      Jar_BLK_17
32,44843.8155,32.0,33.0,6484.869000000001,78838.49,5033.86,5502.923000000001,27962020.0,1319573.0,16860.96,69292.64,35418430.0,138.8788,57080.32,36480.43,316.9852,957008.8,4895.764,2681.232,1462.296,2070200.0,67.9887,128.0467,1582.255,3404.048,366.3434,55.39767,2800.21,305.3002,526.3062,256.6123,1020.263,34.870020000000004,37.53524,433.6604,282.4597,1002.2339999999999,99.39402,9832.627,32.94174,94.50594,93.50756,180.587,2255.2270000000003,1191.361,216.108,54.406209999999994,76.63123,1409.234,625.1344,98.69976,168.4849,365.7744,86.6554,2631.428,170.0984,42.131209999999996,103.3051,225.6763,57.55035,177030.4,1229.327,62.571830000000006,106.0833,32.27083,23.01484,26.016820000000003,10.00644,4.002575,2006.108,105877.5,184.9612,3.001932,184.5702,40.02585,31.020020000000002,9.004507,7.004507,70.04551,23.01482,26.01677,14.00905,4.001932,1.0,2.0,4.001932,2.0,1.0,4.001932,2.000644,5.002575,3.000644,113.0842,2.800569,                      Jar_BLK_17
